gene,HR,95% CI,p.value
ENSG00000100380,5.6,(1-31),0.0487
ENSG00000163479,51.4,(6.7-390),0.000154
ENSG00000103502,0.172,(0.048-0.61),0.00636
ENSG00000100823,5.88,(1.1-32),0.0397
ENSG00000185088,0.333,(0.12-0.9),0.0303
ENSG00000167770,932,(15-59000),0.00125
ENSG00000174021,4.73,(1.3-17),0.018
ENSG00000172053,19.3,(2.3-160),0.00647
ENSG00000282958,205,(15-2700),5.43e-05
ENSG00000125944,205,(15-2700),5.43e-05
ENSG00000122218,17.2,(1.8-160),0.013
ENSG00000130638,45.9,(5.6-380),0.000375
ENSG00000111786,5.03,(1.1-23),0.0381
ENSG00000136240,3.68,(1.2-11),0.0195
ENSG00000121774,16.4,(1.9-140),0.0117
ENSG00000002834,0.0346,(0.0045-0.27),0.00123
ENSG00000198417,0.282,(0.14-0.58),0.000549
ENSG00000162407,0.267,(0.12-0.61),0.00166
ENSG00000229295,0.47,(0.25-0.87),0.0162
ENSG00000237710,0.47,(0.25-0.87),0.0162
ENSG00000226826,0.47,(0.25-0.87),0.0162
ENSG00000236693,0.47,(0.25-0.87),0.0162
ENSG00000230708,0.47,(0.25-0.87),0.0162
ENSG00000223865,0.47,(0.25-0.87),0.0162
ENSG00000230763,0.47,(0.25-0.87),0.0162
ENSG00000215048,0.47,(0.25-0.87),0.0162
ENSG00000115758,2.43,(1.2-5.1),0.0183
ENSG00000136888,0.216,(0.051-0.91),0.0374
ENSG00000173141,0.107,(0.02-0.58),0.00924
ENSG00000065518,38.7,(3.8-400),0.00213
ENSG00000109046,0.295,(0.088-0.99),0.0472
ENSG00000114354,81.1,(4.1-1600),0.00387
ENSG00000113648,35.2,(4-310),0.00136
ENSG00000115839,0.00647,(0.00038-0.11),0.000491
ENSG00000044115,12.7,(1.9-84),0.00842
ENSG00000125971,11.8,(1.7-79),0.0113
ENSG00000258947,2.76,(1.1-7.2),0.037
ENSG00000126267,449,(7.4-27000),0.00354
ENSG00000157020,15,(2.3-96),0.00444
ENSG00000205352,0.158,(0.039-0.63),0.00904
ENSG00000185825,7.46,(1.7-33),0.00752
ENSG00000173113,18.2,(2.9-120),0.00212
ENSG00000189266,0.0474,(0.0077-0.29),0.00105
ENSG00000136261,2.01,(1.3-3.2),0.00356
ENSG00000065135,20.5,(2-210),0.0116
ENSG00000168214,0.194,(0.071-0.53),0.00139
ENSG00000085662,1.8,(1.1-2.9),0.0118
ENSG00000138430,11.5,(2.2-60),0.00375
ENSG00000042753,6.19,(1.1-35),0.0387
ENSG00000168036,2.75,(1-7.3),0.043
ENSG00000183087,0.0718,(0.0074-0.7),0.0232
ENSG00000133392,0.26,(0.081-0.83),0.0231
ENSG00000276480,0.26,(0.081-0.83),0.0231
ENSG00000180957,0.106,(0.012-0.94),0.0434
ENSG00000073712,2.76,(1.2-6.4),0.018
ENSG00000082641,0.078,(0.016-0.39),0.0018
ENSG00000159352,12.3,(2.2-69),0.00413
ENSG00000069275,5.83,(1.4-24),0.0142
ENSG00000129562,14.2,(2.3-87),0.00423
ENSG00000129055,10.5,(1.7-66),0.0122
ENSG00000152583,0.458,(0.27-0.77),0.00323
ENSG00000066044,27.9,(3.3-240),0.00234
ENSG00000184344,0.66,(0.45-0.97),0.0323
ENSG00000182004,4.21,(1.3-14),0.0173
ENSG00000072506,5.27,(1-27),0.0488
ENSG00000143183,24.2,(4-140),0.00048
ENSG00000100225,0.0228,(0.0011-0.49),0.0157
ENSG00000115233,9.62,(1.4-65),0.0206
ENSG00000120963,5.5,(1.2-24),0.0246
ENSG00000143222,4.18,(1.5-12),0.00712
ENSG00000026297,0.166,(0.056-0.5),0.00135
ENSG00000170142,11.9,(2.3-62),0.00329
ENSG00000188486,4,(1.3-12),0.0156
ENSG00000178980,9.39,(2.3-39),0.00195
ENSG00000188536,1.46,(1-2.1),0.0369
ENSG00000089597,6.46,(1.6-26),0.00864
ENSG00000184840,6.75,(1.5-31),0.0149
ENSG00000077782,0.377,(0.18-0.8),0.0107
ENSG00000122390,14.8,(1.6-140),0.0182
ENSG00000092964,0.459,(0.22-0.97),0.0416
ENSG00000129657,0.208,(0.064-0.67),0.00871
ENSG00000154639,0.751,(0.57-0.98),0.0379
ENSG00000114902,11.1,(1.4-88),0.0228
