gene,HR,95% CI,p.value
ENSG00000123989,18.1,(1.1-300),0.0433
ENSG00000137767,0.503,(0.27-0.92),0.0261
ENSG00000167325,21,(1.7-260),0.0185
ENSG00000174851,5.1,(1.4-19),0.016
ENSG00000068323,0.137,(0.028-0.66),0.0136
ENSG00000091483,10,(2.3-43),0.00189
ENSG00000052126,0.64,(0.42-0.97),0.0345
ENSG00000132274,0.458,(0.27-0.77),0.00321
ENSG00000011295,0.218,(0.075-0.64),0.00542
ENSG00000214517,6.37,(2.4-17),0.000186
ENSG00000105401,5.72,(1.9-17),0.00156
ENSG00000101161,29.3,(1.8-480),0.018
ENSG00000171492,0.0581,(0.0049-0.68),0.0237
ENSG00000176393,2.71,(1.2-6.4),0.0221
ENSG00000143486,6.8,(1.2-37),0.0276
ENSG00000113657,0.349,(0.18-0.67),0.00157
ENSG00000108587,0.0963,(0.016-0.59),0.0117
ENSG00000130707,0.496,(0.3-0.83),0.00726
ENSG00000198736,4.39,(2-9.9),0.000346
ENSG00000035687,3.22,(1.1-9.2),0.0298
ENSG00000103365,8.7,(1.5-52),0.0174
ENSG00000114650,17.5,(3.1-98),0.0011
ENSG00000107625,12.2,(2.7-55),0.00115
ENSG00000182704,12.8,(2.2-75),0.00456
ENSG00000171222,11.9,(2.2-64),0.00403
ENSG00000274958,0.0478,(0.0048-0.47),0.00938
ENSG00000100605,0.0478,(0.0048-0.47),0.00938
ENSG00000185432,0.333,(0.18-0.61),0.00037
ENSG00000123353,9.47,(1.5-61),0.0179
ENSG00000109079,9.72,(1.2-76),0.0303
ENSG00000078674,0.263,(0.07-0.98),0.0465
ENSG00000198646,10.9,(2.2-54),0.00325
ENSG00000196821,0.134,(0.026-0.7),0.0173
ENSG00000008130,0.207,(0.054-0.79),0.0215
ENSG00000090686,0.146,(0.041-0.52),0.00287
ENSG00000149313,6.7,(1.4-33),0.0186
ENSG00000172724,0.343,(0.14-0.84),0.02
ENSG00000160113,5.08,(2.1-13),0.000413
ENSG00000118689,0.0727,(0.011-0.46),0.00546
ENSG00000213465,20.4,(2.9-140),0.00238
ENSG00000106070,3.03,(1.3-7.2),0.0122
ENSG00000113810,55.8,(5.7-540),0.00053
ENSG00000116698,4.24,(1.5-12),0.00536
ENSG00000130669,14.3,(1.2-170),0.034
ENSG00000170035,4.64,(1.5-14),0.00835
ENSG00000198815,5.15,(1.4-19),0.0149
ENSG00000136147,0.419,(0.19-0.91),0.028
ENSG00000094631,9.5,(1.6-57),0.0142
ENSG00000166847,0.148,(0.024-0.92),0.0403
ENSG00000176619,11.8,(2.8-50),0.000744
ENSG00000099797,3.31,(1.4-7.9),0.00679
ENSG00000140905,2.48,(1-6),0.0434
ENSG00000134375,2.95,(1.4-6.4),0.00659
ENSG00000099942,3.03,(1.1-8.2),0.0295
ENSG00000116906,4.56,(1.5-14),0.00935
ENSG00000059378,0.328,(0.13-0.84),0.0204
ENSG00000136732,0.082,(0.011-0.63),0.0163
ENSG00000046651,0.0998,(0.021-0.48),0.00415
ENSG00000071859,4.99,(1.5-17),0.00928
ENSG00000213722,3.1,(1.1-8.5),0.0286
ENSG00000225635,3.1,(1.1-8.5),0.0286
ENSG00000233076,3.1,(1.1-8.5),0.0286
ENSG00000226634,3.1,(1.1-8.5),0.0286
ENSG00000227317,3.1,(1.1-8.5),0.0286
ENSG00000228128,3.1,(1.1-8.5),0.0286
ENSG00000206395,3.1,(1.1-8.5),0.0286
ENSG00000089876,11.9,(2.2-63),0.0037
ENSG00000127947,0.351,(0.13-0.93),0.0343
ENSG00000162174,0.305,(0.13-0.72),0.0063
ENSG00000142208,4.45,(1.1-18),0.0385
ENSG00000143013,0.598,(0.38-0.93),0.0232
ENSG00000105856,0.115,(0.016-0.81),0.0299
ENSG00000283847,0.115,(0.016-0.81),0.0299
ENSG00000106565,0.575,(0.35-0.94),0.0286
ENSG00000131374,8.57,(1.4-54),0.0224
ENSG00000183291,0.173,(0.032-0.94),0.0419
ENSG00000005810,0.264,(0.099-0.7),0.00747
ENSG00000185800,24.1,(1.4-420),0.0299
ENSG00000143314,12.6,(2.9-54),0.000661
ENSG00000173065,0.117,(0.021-0.63),0.0129
ENSG00000131149,3.13,(1.4-7.2),0.00675
ENSG00000124226,0.0249,(0.0032-0.19),0.000387
ENSG00000108219,11.7,(1.4-100),0.0244
ENSG00000159592,0.0454,(0.0064-0.32),0.00204
ENSG00000160563,37.5,(1.7-820),0.0215
ENSG00000135250,0.121,(0.015-0.98),0.0482
ENSG00000164985,0.449,(0.2-1),0.0497
ENSG00000107854,7.36,(1.5-35),0.0122
ENSG00000067369,44,(2.9-670),0.00636
ENSG00000159348,1.83,(1.1-2.9),0.0116
ENSG00000112977,5.2,(1.1-24),0.037
ENSG00000125037,3.8,(1.2-12),0.0259
ENSG00000107745,15.9,(2.7-94),0.00232
ENSG00000102882,0.0185,(0.00037-0.93),0.046
ENSG00000163131,0.462,(0.24-0.89),0.0216
ENSG00000163159,18.2,(2.5-130),0.0045
ENSG00000109814,4.01,(1.3-12),0.015
ENSG00000170266,5.37,(1.2-24),0.0287
ENSG00000107566,5.91,(1.6-22),0.00734
ENSG00000148498,13.2,(2-88),0.00764
ENSG00000182197,2.67,(1-7.1),0.0485
ENSG00000128294,0.502,(0.26-0.96),0.0366
ENSG00000283060,2.63,(1.2-6),0.0218
ENSG00000117318,2.63,(1.2-6),0.0218
ENSG00000120686,0.126,(0.022-0.72),0.0198
ENSG00000101337,15,(2.2-100),0.00543
ENSG00000105438,26.2,(4.4-160),0.000322
ENSG00000143499,2.47,(1.3-4.8),0.00698
ENSG00000158019,4.6,(1-21),0.0495
ENSG00000128641,5.24,(1.1-25),0.0392
ENSG00000165487,0.22,(0.058-0.84),0.0269
ENSG00000099385,275,(8.9-8500),0.00133
ENSG00000138495,8.45,(1.9-37),0.0044
ENSG00000108788,0.0169,(0.00062-0.45),0.0152
ENSG00000092203,60.8,(3.1-1200),0.00675
ENSG00000122376,29,(2-430),0.0145
ENSG00000078596,0.208,(0.068-0.63),0.00575
ENSG00000083937,5.57,(1.5-20),0.00893
ENSG00000142949,1.66,(1-2.7),0.0393
ENSG00000161202,5.13,(1.4-19),0.0136
ENSG00000089159,3.5,(1.4-8.8),0.00776
ENSG00000048991,17.5,(2.6-120),0.00312
ENSG00000173757,0.128,(0.019-0.86),0.0343
ENSG00000108691,0.458,(0.26-0.81),0.00671
ENSG00000107874,5.51,(1.3-23),0.0178
ENSG00000150867,0.236,(0.073-0.76),0.0159
ENSG00000115216,3.49,(1-12),0.0479
ENSG00000275837,9.47,(1.7-54),0.011
ENSG00000099956,9.47,(1.7-54),0.011
ENSG00000113048,7.14,(1.3-40),0.0252
ENSG00000096433,0.39,(0.2-0.75),0.00496
ENSG00000141985,8.83,(2.2-35),0.00186
ENSG00000158793,92.8,(5.1-1700),0.00222
ENSG00000163788,0.184,(0.045-0.75),0.0183
ENSG00000171603,0.289,(0.1-0.8),0.017
ENSG00000168484,1.37,(1-1.8),0.03
ENSG00000160783,15.1,(1.2-190),0.0357
ENSG00000137714,2.47,(1.4-4.4),0.00245
ENSG00000187840,3.21,(1.3-8.2),0.0144
ENSG00000211899,0.47,(0.25-0.87),0.0165
ENSG00000089063,3.46,(1.1-11),0.0328
ENSG00000112308,0.15,(0.053-0.42),0.000351
ENSG00000077097,4.75,(1.8-13),0.00221
ENSG00000071054,5.57,(1.3-23),0.0187
ENSG00000070010,3.29,(1.1-9.8),0.0333
ENSG00000099194,3.43,(1.7-7.1),0.000843
ENSG00000151929,2.79,(1.4-5.6),0.00379
ENSG00000117614,0.165,(0.033-0.82),0.0274
ENSG00000075388,0.389,(0.16-0.96),0.0403
ENSG00000035681,0.442,(0.2-0.99),0.0468
ENSG00000104960,6.48,(1.9-22),0.0023
ENSG00000138107,10.3,(1.6-65),0.0132
ENSG00000290878,0.272,(0.092-0.8),0.0186
ENSG00000211669,0.306,(0.1-0.9),0.0316
ENSG00000105137,4.39,(1.6-12),0.00528
ENSG00000214706,13,(3.2-54),0.000365
ENSG00000157601,0.571,(0.35-0.93),0.0237
ENSG00000023041,111,(6.2-2000),0.0014
ENSG00000149547,27.4,(3.8-200),0.00104
ENSG00000136943,2.08,(1.1-3.9),0.023
ENSG00000128228,2.42,(1.1-5.5),0.0364
ENSG00000285112,7.52,(1.2-47),0.0319
ENSG00000185803,7.52,(1.2-47),0.0319
ENSG00000213079,0.401,(0.17-0.94),0.0345
ENSG00000137710,9.89,(3.4-29),2.69e-05
ENSG00000174804,4.11,(1.3-13),0.0177
ENSG00000169442,0.316,(0.11-0.95),0.0401
ENSG00000099203,20.5,(2-210),0.0105
ENSG00000159063,16.5,(3.3-81),0.000571
ENSG00000182606,16.6,(1.1-250),0.0439
ENSG00000091490,0.42,(0.22-0.79),0.00741
ENSG00000092531,0.246,(0.08-0.75),0.0141
ENSG00000123159,21.3,(1.3-360),0.0339
ENSG00000163659,5.58,(1.4-22),0.0146
ENSG00000056050,7.91,(1-61),0.0466
ENSG00000277707,6.89,(1.5-32),0.0147
ENSG00000274894,6.89,(1.5-32),0.0147
ENSG00000275117,6.89,(1.5-32),0.0147
ENSG00000105618,6.89,(1.5-32),0.0147
ENSG00000277154,6.89,(1.5-32),0.0147
ENSG00000274144,6.89,(1.5-32),0.0147
ENSG00000275885,6.89,(1.5-32),0.0147
ENSG00000274651,6.89,(1.5-32),0.0147
ENSG00000277953,6.89,(1.5-32),0.0147
ENSG00000276421,6.89,(1.5-32),0.0147
ENSG00000169139,5.8,(1.5-22),0.011
ENSG00000262860,7.46,(1.1-49),0.0359
ENSG00000257103,7.46,(1.1-49),0.0359
ENSG00000130813,0.0351,(0.0024-0.51),0.0144
ENSG00000163320,35.2,(4.2-300),0.00106
ENSG00000092036,7.92,(1.6-38),0.00997
ENSG00000144848,0.286,(0.1-0.8),0.0169
ENSG00000127452,33.1,(2-540),0.0138
ENSG00000022277,9.95,(1.7-59),0.0111
ENSG00000140259,9.12,(1.1-75),0.0403
ENSG00000106628,3.68,(1.2-12),0.027
ENSG00000105393,11,(2.5-49),0.00175
ENSG00000106608,0.0601,(0.0061-0.59),0.0158
ENSG00000111802,0.189,(0.06-0.59),0.00413
ENSG00000213551,9.14,(1.4-59),0.0196
ENSG00000158828,0.00728,(0.00045-0.12),0.000507
ENSG00000147168,0.238,(0.074-0.76),0.0159
ENSG00000117091,0.231,(0.078-0.69),0.00847
ENSG00000163918,4.51,(1.3-15),0.0158
ENSG00000105135,5.86,(1.6-22),0.0077
ENSG00000080546,0.149,(0.047-0.47),0.00109
ENSG00000085491,4.85,(1.3-18),0.0185
ENSG00000284468,4.85,(1.3-18),0.0185
ENSG00000111145,0.571,(0.36-0.9),0.0171
ENSG00000071794,4.19,(1.6-11),0.00389
ENSG00000168918,0.0573,(0.016-0.21),1.77e-05
ENSG00000281614,0.0573,(0.016-0.21),1.77e-05
ENSG00000164904,4.11,(1.2-15),0.0285
ENSG00000169062,0.354,(0.17-0.76),0.00725
ENSG00000101871,0.34,(0.12-0.98),0.0453
ENSG00000137726,0.373,(0.19-0.74),0.00506
ENSG00000173457,2.89,(1.1-7.6),0.0321
ENSG00000130702,2.99,(1.1-8.2),0.0334
ENSG00000119866,0.0305,(0.0029-0.32),0.0038
ENSG00000158850,3.17,(1.4-7.2),0.00546
ENSG00000114030,9.42,(1.3-71),0.0293
ENSG00000169188,13.3,(1-170),0.046
ENSG00000163930,106,(7.8-1400),0.000467
ENSG00000116679,7.18,(2.6-20),0.000144
ENSG00000174718,0.449,(0.26-0.79),0.00555
ENSG00000102038,3.09,(1.1-8.7),0.0319
ENSG00000262655,0.223,(0.081-0.62),0.0038
ENSG00000130147,1.93,(1-3.6),0.0374
ENSG00000135269,0.198,(0.071-0.55),0.00193
ENSG00000160752,24.2,(3.2-180),0.0019
ENSG00000112297,0.45,(0.24-0.83),0.0109
ENSG00000115956,0.023,(0.0015-0.34),0.00622
ENSG00000007237,0.0499,(0.011-0.23),0.000103
ENSG00000118046,178,(1.1-28000),0.0451
ENSG00000123358,108,(1.3-8600),0.0363
ENSG00000147155,5.51,(1.1-27),0.0344
ENSG00000150787,2.89,(1.2-7.2),0.0238
ENSG00000165458,6.82,(2.4-20),0.000364
ENSG00000165304,2.7,(1.1-6.3),0.0226
ENSG00000006715,0.141,(0.021-0.96),0.0454
ENSG00000106524,4.85,(1.8-13),0.00197
ENSG00000105341,15.8,(1.9-130),0.0106
ENSG00000248098,110,(2.5-4800),0.0147
ENSG00000110090,0.026,(0.0037-0.18),0.000233
ENSG00000167081,0.305,(0.16-0.58),0.000263
ENSG00000170558,1.96,(1-3.7),0.0366
ENSG00000114423,2.21,(1.1-4.3),0.0199
ENSG00000088325,8.62,(1.7-44),0.00962
ENSG00000100034,7.28,(1.1-46),0.0356
ENSG00000112406,0.28,(0.1-0.78),0.0142
ENSG00000160791,0.178,(0.032-0.98),0.0478
ENSG00000012061,13.6,(2-93),0.00774
ENSG00000130844,4.15,(1.2-14),0.0207
ENSG00000107742,0.0147,(0.00085-0.26),0.00379
ENSG00000137075,0.338,(0.13-0.88),0.0266
ENSG00000171867,0.406,(0.25-0.66),0.000246
ENSG00000174446,0.116,(0.015-0.92),0.0417
ENSG00000104812,3.97,(1.7-9.3),0.00161
ENSG00000130300,2.85,(1.1-7.4),0.0328
ENSG00000196368,0.188,(0.038-0.93),0.04
ENSG00000240508,0.557,(0.31-1),0.0499
ENSG00000243594,0.557,(0.31-1),0.0499
ENSG00000240065,0.557,(0.31-1),0.0499
ENSG00000243067,0.557,(0.31-1),0.0499
ENSG00000240118,0.557,(0.31-1),0.0499
ENSG00000243958,0.557,(0.31-1),0.0499
ENSG00000242711,0.557,(0.31-1),0.0499
ENSG00000239836,0.557,(0.31-1),0.0499
ENSG00000108622,0.233,(0.078-0.69),0.00888
ENSG00000231021,0.253,(0.066-0.97),0.0454
ENSG00000227357,0.253,(0.066-0.97),0.0454
ENSG00000227826,0.253,(0.066-0.97),0.0454
ENSG00000100441,4.86,(1.1-21),0.0319
ENSG00000092445,5.75,(1.9-17),0.00155
ENSG00000102760,0.539,(0.31-0.94),0.0287
ENSG00000131153,2.81,(1-7.6),0.0437
ENSG00000104853,14.3,(1.3-150),0.0274
ENSG00000101191,0.113,(0.019-0.68),0.0171
ENSG00000119596,13.8,(2.1-89),0.00589
ENSG00000164683,3.23,(1.6-6.5),0.000939
ENSG00000140396,0.299,(0.092-0.97),0.0447
ENSG00000114125,7.89,(1.8-35),0.00633
ENSG00000263160,0.153,(0.026-0.89),0.0366
ENSG00000142188,0.153,(0.026-0.89),0.0366
ENSG00000063660,3.46,(1.3-9.2),0.0129
ENSG00000145604,2.22,(1.4-3.5),0.000453
ENSG00000091136,2.36,(1.1-5.2),0.035
ENSG00000156253,4.58,(1.2-18),0.0284
ENSG00000133321,0.457,(0.24-0.89),0.0203
ENSG00000185043,0.176,(0.044-0.69),0.0131
ENSG00000163875,0.233,(0.084-0.65),0.00527
ENSG00000132773,0.0424,(0.002-0.91),0.0431
ENSG00000085832,0.228,(0.059-0.88),0.032
ENSG00000288121,0.379,(0.15-0.97),0.0436
ENSG00000112159,0.379,(0.15-0.97),0.0436
ENSG00000099284,4.44,(1.3-15),0.0186
ENSG00000152904,10.6,(1.8-62),0.00916
ENSG00000164292,2.11,(1.1-4),0.0247
ENSG00000105755,0.192,(0.044-0.84),0.0285
ENSG00000126561,0.0444,(0.0039-0.51),0.0122
ENSG00000164402,6.25,(1.3-30),0.0213
ENSG00000277734,0.0956,(0.019-0.47),0.00398
ENSG00000143797,4.48,(1.1-18),0.0336
ENSG00000160058,0.11,(0.021-0.58),0.00895
ENSG00000143319,3.79,(1-14),0.0473
ENSG00000117650,4.91,(2.2-11),0.000153
ENSG00000184634,14.7,(2.7-79),0.00169
ENSG00000112679,0.27,(0.078-0.94),0.039
ENSG00000002919,0.000457,(6.2e-06-0.034),0.000457
ENSG00000158526,0.0828,(0.0074-0.93),0.0432
ENSG00000214160,28.9,(2.5-330),0.00694
ENSG00000185585,2.27,(1-5.1),0.0473
ENSG00000103005,9.01,(2.3-35),0.00141
ENSG00000235915,0.0862,(0.011-0.67),0.0187
ENSG00000223465,0.0862,(0.011-0.67),0.0187
ENSG00000234514,0.0862,(0.011-0.67),0.0187
ENSG00000226182,0.0862,(0.011-0.67),0.0187
ENSG00000204482,0.0862,(0.011-0.67),0.0187
ENSG00000206433,0.0862,(0.011-0.67),0.0187
ENSG00000230791,0.0862,(0.011-0.67),0.0187
ENSG00000231048,0.0862,(0.011-0.67),0.0187
ENSG00000173706,1.98,(1.2-3.4),0.0106
ENSG00000114480,2.62,(1.4-5.1),0.00403
ENSG00000102096,0.153,(0.05-0.47),0.0011
ENSG00000122490,0.125,(0.032-0.5),0.00312
ENSG00000171148,4.93,(1.1-23),0.0423
ENSG00000013588,0.513,(0.29-0.9),0.0205
ENSG00000005302,0.145,(0.036-0.58),0.00665
ENSG00000256453,0.214,(0.056-0.82),0.0247
ENSG00000173848,1.82,(1-3.2),0.0418
ENSG00000230230,0.00451,(2e-04-0.1),0.000664
ENSG00000137313,0.00451,(2e-04-0.1),0.000664
ENSG00000234046,0.00451,(2e-04-0.1),0.000664
ENSG00000228881,0.00451,(2e-04-0.1),0.000664
ENSG00000231641,0.00451,(2e-04-0.1),0.000664
ENSG00000226060,0.00451,(2e-04-0.1),0.000664
ENSG00000231002,0.00451,(2e-04-0.1),0.000664
ENSG00000234127,0.00451,(2e-04-0.1),0.000664
ENSG00000135968,0.201,(0.058-0.69),0.0112
ENSG00000095059,18.1,(3.9-83),0.000207
ENSG00000132182,5.5,(1.9-16),0.00214
ENSG00000113758,5.27,(1.5-18),0.00829
ENSG00000135346,1.28,(1-1.6),0.0277
ENSG00000125827,0.278,(0.085-0.9),0.0331
ENSG00000151779,0.0421,(0.0026-0.69),0.0263
ENSG00000090530,1.9,(1.1-3.2),0.0181
ENSG00000136451,5.28,(1.2-24),0.0314
ENSG00000100614,0.0835,(0.0073-0.95),0.0456
ENSG00000164442,2.75,(1.6-4.7),0.000247
ENSG00000127483,11.2,(1.2-110),0.0343
ENSG00000174606,7.92,(1.6-38),0.0103
ENSG00000020181,0.266,(0.089-0.8),0.0182
ENSG00000141480,0.107,(0.015-0.75),0.0246
ENSG00000164062,9.76,(2-47),0.00474
ENSG00000176095,36.8,(3.5-390),0.00272
ENSG00000100139,4.08,(1.4-12),0.00848
ENSG00000111704,0.639,(0.43-0.96),0.0315
ENSG00000166002,0.297,(0.092-0.96),0.0428
ENSG00000117298,15.1,(2.4-94),0.00367
ENSG00000170312,10.1,(2.3-45),0.0022
ENSG00000136143,0.389,(0.16-0.93),0.0343
ENSG00000007255,8.16,(1.9-35),0.00482
ENSG00000126456,31.2,(2.4-410),0.00893
ENSG00000082458,0.216,(0.067-0.7),0.0106
ENSG00000117724,2.86,(1.1-7.2),0.0255
ENSG00000177697,3.11,(1.4-7.1),0.00734
ENSG00000105011,130,(11-1600),0.000126
ENSG00000288210,130,(11-1600),0.000126
ENSG00000185420,3.55,(1.4-9.1),0.00807
ENSG00000182179,0.144,(0.027-0.76),0.0225
ENSG00000013725,0.00606,(0.00013-0.28),0.00925
ENSG00000158164,1.42,(1-2),0.0411
ENSG00000126254,33.7,(4.2-270),0.000936
ENSG00000140374,5.48,(2.2-13),0.000212
ENSG00000100348,27.5,(1.3-570),0.0324
ENSG00000206527,3.64,(1.8-7.5),0.000442
ENSG00000167130,54,(1.3-2200),0.035
ENSG00000130158,0.193,(0.057-0.65),0.00835
ENSG00000112851,0.206,(0.058-0.73),0.014
ENSG00000103549,12.6,(1-150),0.0463
ENSG00000008324,7.56,(1.6-35),0.0094
ENSG00000168496,3.9,(1.2-13),0.026
ENSG00000008517,0.416,(0.2-0.89),0.0235
ENSG00000033327,2.28,(1.2-4.2),0.00973
ENSG00000143376,8.69,(1-75),0.0494
ENSG00000107021,45.9,(1.4-1500),0.0313
ENSG00000211455,0.295,(0.11-0.76),0.0115
ENSG00000149485,6.92,(2.5-19),0.000245
ENSG00000163634,4.92,(1.4-17),0.0122
ENSG00000082701,3.92,(1.5-10),0.00503
ENSG00000132661,33.4,(1.9-580),0.016
ENSG00000154217,0.179,(0.051-0.63),0.00707
ENSG00000108349,0.11,(0.015-0.83),0.0324
ENSG00000108010,3.03,(1-8.8),0.0414
ENSG00000189337,0.352,(0.13-0.94),0.038
ENSG00000066322,3.69,(1.4-9.6),0.00719
ENSG00000154380,3.12,(1.4-7),0.00583
ENSG00000196549,1.68,(1.1-2.6),0.0172
ENSG00000165140,0.175,(0.036-0.86),0.0323
ENSG00000136231,1.9,(1.1-3.3),0.0196
ENSG00000196428,4.47,(1.3-15),0.017
ENSG00000122644,0.216,(0.088-0.53),0.00079
ENSG00000171456,2.72,(1.1-6.7),0.0291
ENSG00000135899,0.14,(0.035-0.56),0.00568
ENSG00000256269,5.84,(1.4-24),0.0147
ENSG00000148908,0.363,(0.15-0.86),0.021
ENSG00000185608,4.23,(1.3-14),0.0202
ENSG00000101417,32,(1.6-630),0.023
ENSG00000115204,9.59,(1.6-57),0.0133
ENSG00000284770,6.03,(1.2-30),0.0298
ENSG00000285053,6.03,(1.2-30),0.0298
ENSG00000282984,6.03,(1.2-30),0.0298
ENSG00000278243,13.6,(2.2-84),0.00479
ENSG00000104522,13.6,(2.2-84),0.00479
ENSG00000104728,0.25,(0.098-0.64),0.00379
ENSG00000274726,0.25,(0.098-0.64),0.00379
ENSG00000125651,125,(4.5-3500),0.00436
ENSG00000137947,0.104,(0.012-0.94),0.0442
ENSG00000274429,6.25,(1.6-25),0.00951
ENSG00000151208,6.25,(1.6-25),0.00951
ENSG00000232653,0.169,(0.042-0.69),0.013
ENSG00000283589,0.169,(0.042-0.69),0.013
ENSG00000107959,20,(3.5-120),0.000786
ENSG00000197555,7.65,(1.6-37),0.0115
ENSG00000114388,19.5,(3.9-97),0.000278
ENSG00000127663,4.84,(1.1-21),0.0369
ENSG00000109501,2.08,(1.1-3.9),0.0234
ENSG00000103316,0.127,(0.02-0.79),0.0269
ENSG00000112149,0.0601,(0.0086-0.42),0.00465
ENSG00000291137,55.2,(2.2-1400),0.0145
ENSG00000082515,8.18,(1.8-38),0.00755
ENSG00000203485,89.5,(4.7-1700),0.00282
ENSG00000196189,0.0439,(0.0046-0.42),0.00679
ENSG00000163520,2.27,(1.1-4.7),0.0298
ENSG00000072832,0.207,(0.043-0.99),0.049
ENSG00000043143,0.173,(0.058-0.51),0.00158
ENSG00000099940,2.22,(1.1-4.4),0.0214
ENSG00000168268,4.75,(1.9-12),0.000658
ENSG00000100442,9.7,(2.1-46),0.00399
ENSG00000123374,5.76,(2-16),0.00106
ENSG00000105928,2.13,(1.1-4.2),0.0275
ENSG00000091972,0.433,(0.2-0.92),0.0304
ENSG00000183486,0.273,(0.092-0.81),0.0195
ENSG00000117228,0.668,(0.45-0.99),0.0463
ENSG00000138755,0.467,(0.25-0.89),0.02
ENSG00000169905,3.99,(1.5-11),0.00527
ENSG00000240382,0.548,(0.33-0.92),0.0231
ENSG00000171552,0.062,(0.0082-0.47),0.00721
ENSG00000147601,0.582,(0.35-0.96),0.033
ENSG00000116096,6.16,(1.2-31),0.0281
ENSG00000167191,0.522,(0.3-0.92),0.0239
ENSG00000148337,15.1,(2.1-110),0.00704
ENSG00000177383,6.84,(2.2-22),0.00104
ENSG00000006194,0.288,(0.086-0.96),0.0431
ENSG00000101290,29.8,(4.2-210),0.000713
ENSG00000114544,13.7,(2-95),0.00798
ENSG00000143258,27.3,(2.8-260),0.00422
ENSG00000138443,34.9,(2.4-500),0.00879
ENSG00000107175,19,(1.3-280),0.0319
ENSG00000277943,0.326,(0.12-0.87),0.0253
ENSG00000275824,0.326,(0.12-0.87),0.0253
ENSG00000275302,0.326,(0.12-0.87),0.0253
ENSG00000133943,0.233,(0.059-0.92),0.0371
ENSG00000111666,0.302,(0.12-0.76),0.011
ENSG00000087586,4.92,(1-24),0.0458
ENSG00000129255,17.7,(2-160),0.00946
ENSG00000116918,5.03,(1.2-22),0.0302
ENSG00000083838,46.7,(1.6-1300),0.025
ENSG00000185019,59.6,(1.4-2500),0.0327
ENSG00000163781,5.53,(1.4-22),0.0168
ENSG00000143157,18.5,(2.9-120),0.00206
ENSG00000169955,0.0211,(0.00052-0.85),0.041
ENSG00000182022,0.357,(0.14-0.94),0.0368
ENSG00000241253,0.209,(0.053-0.82),0.0243
ENSG00000243570,0.209,(0.053-0.82),0.0243
ENSG00000242335,0.209,(0.053-0.82),0.0243
ENSG00000243649,0.209,(0.053-0.82),0.0243
ENSG00000204359,0.209,(0.053-0.82),0.0243
ENSG00000239754,0.209,(0.053-0.82),0.0243
ENSG00000241534,0.209,(0.053-0.82),0.0243
ENSG00000108854,0.288,(0.085-0.97),0.0454
ENSG00000024048,0.0834,(0.023-0.3),0.000126
ENSG00000168961,0.22,(0.061-0.79),0.0205
ENSG00000037749,8.85,(1.2-66),0.0338
ENSG00000114739,3.02,(1.3-7),0.0099
ENSG00000055163,0.073,(0.021-0.25),3.48e-05
ENSG00000144711,5.01,(1.2-21),0.0295
ENSG00000196712,8.08,(1.2-52),0.0284
ENSG00000155792,0.2,(0.081-0.49),0.000463
ENSG00000143546,0.565,(0.33-0.97),0.0369
ENSG00000078140,3.86,(1.2-12),0.019
ENSG00000102178,75.5,(6-950),0.000837
ENSG00000198399,0.0422,(0.0057-0.31),0.00194
ENSG00000141682,0.526,(0.35-0.8),0.00233
ENSG00000038382,4.2,(1-17),0.0436
ENSG00000123609,0.313,(0.17-0.58),0.000211
ENSG00000117215,0.0111,(0.00026-0.47),0.0187
ENSG00000132424,0.194,(0.055-0.68),0.0106
ENSG00000187764,0.0705,(0.017-0.29),0.00022
ENSG00000198356,47.4,(2.8-800),0.00732
ENSG00000143367,2.11,(1.2-3.8),0.0115
ENSG00000114737,0.028,(0.001-0.76),0.0335
ENSG00000107779,0.21,(0.044-1),0.0499
ENSG00000074370,0.0497,(0.0091-0.27),0.000547
ENSG00000179085,3.88,(1.1-14),0.0338
ENSG00000126581,0.0704,(0.011-0.45),0.00486
ENSG00000105329,2.54,(1.2-5.6),0.0201
ENSG00000161955,0.328,(0.13-0.84),0.0206
ENSG00000071243,0.0756,(0.01-0.56),0.0117
ENSG00000179115,15,(2.1-110),0.00674
ENSG00000136213,0.172,(0.035-0.85),0.0306
ENSG00000211598,0.187,(0.041-0.85),0.0299
ENSG00000138777,3.69,(1-14),0.0492
ENSG00000100307,0.157,(0.026-0.96),0.0445
ENSG00000113163,0.203,(0.05-0.83),0.026
ENSG00000174640,2.65,(1.3-5.4),0.008
ENSG00000104312,5.05,(1.4-18),0.0145
ENSG00000174307,0.0904,(0.012-0.69),0.0204
ENSG00000107290,0.0885,(0.013-0.58),0.0117
ENSG00000205155,2.82,(1.1-7.2),0.0316
ENSG00000153563,0.0602,(0.0058-0.62),0.0186
ENSG00000164051,5.09,(1.6-16),0.00605
ENSG00000074603,0.105,(0.019-0.59),0.0105
ENSG00000068079,0.333,(0.13-0.82),0.0168
ENSG00000113088,0.213,(0.056-0.82),0.0242
ENSG00000119760,8.82,(1.9-42),0.00623
ENSG00000014216,8.33,(1.6-43),0.0111
ENSG00000118482,0.119,(0.028-0.51),0.00417
ENSG00000167695,6.09,(1.3-29),0.0248
ENSG00000214655,14.3,(1.6-130),0.0178
ENSG00000111665,3.09,(1-9.5),0.048
ENSG00000198369,0.437,(0.2-0.96),0.0382
ENSG00000175792,3.61,(1.2-11),0.0202
ENSG00000284901,3.61,(1.2-11),0.0202
ENSG00000148926,2.47,(1.3-4.7),0.0059
ENSG00000064961,8.83,(2.6-30),0.000496
ENSG00000132153,8.26,(2.1-33),0.00265
