gene,HR,95% CI,p.value
ENSG00000089157,5.63,(1-32),0.0496
ENSG00000184009,9.17,(1.6-52),0.0126
ENSG00000254772,9.41,(1.4-64),0.0224
ENSG00000172809,0.195,(0.052-0.73),0.0155
ENSG00000034510,0.228,(0.076-0.68),0.00805
ENSG00000229215,0.591,(0.36-0.97),0.0384
ENSG00000223980,0.591,(0.36-0.97),0.0384
ENSG00000224320,0.591,(0.36-0.97),0.0384
ENSG00000227715,0.591,(0.36-0.97),0.0384
ENSG00000231834,0.591,(0.36-0.97),0.0384
ENSG00000206503,0.591,(0.36-0.97),0.0384
ENSG00000235657,0.591,(0.36-0.97),0.0384
ENSG00000206505,0.591,(0.36-0.97),0.0384
ENSG00000177600,0.304,(0.1-0.91),0.0328
ENSG00000232575,2.02,(1.1-3.8),0.0314
ENSG00000224156,2.02,(1.1-3.8),0.0314
ENSG00000235067,2.02,(1.1-3.8),0.0314
ENSG00000227739,2.02,(1.1-3.8),0.0314
ENSG00000229684,2.02,(1.1-3.8),0.0314
ENSG00000196230,2.02,(1.1-3.8),0.0314
ENSG00000183311,2.02,(1.1-3.8),0.0314
ENSG00000232421,2.02,(1.1-3.8),0.0314
ENSG00000221983,0.178,(0.043-0.73),0.0169
ENSG00000135486,7.73,(1.7-35),0.00839
ENSG00000087460,3.16,(1.3-8),0.0148
ENSG00000096384,4.02,(1.6-10),0.00266
ENSG00000204628,3.21,(1.1-9.8),0.0399
ENSG00000142089,0.516,(0.33-0.82),0.00474
ENSG00000075415,3.02,(1.1-8.5),0.0362
ENSG00000185896,0.365,(0.14-0.96),0.0409
ENSG00000166681,1.8,(1.1-3),0.025
ENSG00000125148,0.71,(0.54-0.94),0.0166
ENSG00000152234,2.59,(1-6.5),0.0412
ENSG00000147140,2.73,(1-7.3),0.0446
ENSG00000102265,0.659,(0.46-0.94),0.023
ENSG00000153187,2.66,(1-7),0.0462
ENSG00000164919,0.361,(0.16-0.82),0.0144
ENSG00000019582,0.75,(0.59-0.95),0.016
ENSG00000197111,2.91,(1-8.1),0.0422
ENSG00000244020,0.606,(0.41-0.9),0.0123
ENSG00000205358,0.697,(0.53-0.91),0.00833
ENSG00000169567,2.85,(1.2-6.7),0.0154
ENSG00000060138,0.552,(0.31-0.98),0.0413
ENSG00000187193,0.714,(0.55-0.92),0.00992
ENSG00000179222,2.05,(1.2-3.4),0.00537
ENSG00000185885,0.669,(0.51-0.88),0.00472
ENSG00000137403,0.688,(0.48-0.98),0.0393
ENSG00000235220,0.688,(0.48-0.98),0.0393
ENSG00000229698,0.688,(0.48-0.98),0.0393
ENSG00000234487,0.688,(0.48-0.98),0.0393
ENSG00000206509,0.688,(0.48-0.98),0.0393
ENSG00000204642,0.688,(0.48-0.98),0.0393
ENSG00000237508,0.688,(0.48-0.98),0.0393
ENSG00000125144,0.703,(0.53-0.93),0.0137
ENSG00000184007,0.341,(0.15-0.76),0.00843
ENSG00000185201,0.459,(0.29-0.73),0.00119
ENSG00000225201,0.672,(0.47-0.96),0.0301
ENSG00000236632,0.672,(0.47-0.96),0.0301
ENSG00000230254,0.672,(0.47-0.96),0.0301
ENSG00000206493,0.672,(0.47-0.96),0.0301
ENSG00000229252,0.672,(0.47-0.96),0.0301
ENSG00000204592,0.672,(0.47-0.96),0.0301
ENSG00000233904,0.672,(0.47-0.96),0.0301
ENSG00000143321,2.13,(1.3-3.5),0.00317
ENSG00000178035,2.48,(1.1-5.4),0.0218
ENSG00000169715,0.702,(0.52-0.94),0.0195
ENSG00000131236,0.45,(0.23-0.9),0.0235
ENSG00000258947,1.7,(1-2.8),0.0403
ENSG00000103502,0.499,(0.28-0.89),0.0183
ENSG00000130638,3.71,(1.4-9.5),0.00633
