gene,HR,95% CI,p.value
ENSG00000163479,4.63,(1.6-13),0.00396
ENSG00000100823,2.04,(1-4.2),0.0491
ENSG00000168384,0.773,(0.63-0.95),0.0148
ENSG00000206291,0.773,(0.63-0.95),0.0148
ENSG00000235844,0.773,(0.63-0.95),0.0148
ENSG00000229685,0.773,(0.63-0.95),0.0148
ENSG00000228163,0.773,(0.63-0.95),0.0148
ENSG00000231389,0.773,(0.63-0.95),0.0148
ENSG00000224103,0.773,(0.63-0.95),0.0148
ENSG00000236177,0.773,(0.63-0.95),0.0148
ENSG00000136888,0.472,(0.22-0.99),0.0482
ENSG00000106484,1.73,(1.2-2.6),0.00666
ENSG00000167770,4.22,(1.1-16),0.0307
ENSG00000143870,1.91,(1-3.5),0.0407
ENSG00000162511,0.778,(0.61-0.99),0.04
ENSG00000122218,2.1,(1-4.3),0.0449
ENSG00000272398,1.56,(1.1-2.2),0.0155
ENSG00000108828,0.397,(0.18-0.86),0.02
ENSG00000107317,0.653,(0.49-0.87),0.00397
ENSG00000182326,0.759,(0.59-0.97),0.0266
ENSG00000077549,0.331,(0.18-0.6),0.000262
ENSG00000216490,0.643,(0.45-0.92),0.0145
ENSG00000114354,3.41,(1.3-8.8),0.0108
ENSG00000182670,2.27,(1.4-3.7),0.00112
ENSG00000198417,0.724,(0.53-0.98),0.039
ENSG00000133026,1.98,(1.1-3.6),0.025
ENSG00000071127,0.445,(0.22-0.89),0.022
ENSG00000229295,0.729,(0.55-0.97),0.0278
ENSG00000237710,0.729,(0.55-0.97),0.0278
ENSG00000226826,0.729,(0.55-0.97),0.0278
ENSG00000236693,0.729,(0.55-0.97),0.0278
ENSG00000230708,0.729,(0.55-0.97),0.0278
ENSG00000223865,0.729,(0.55-0.97),0.0278
ENSG00000230763,0.729,(0.55-0.97),0.0278
ENSG00000215048,0.729,(0.55-0.97),0.0278
ENSG00000183648,0.374,(0.16-0.85),0.0197
ENSG00000182004,2.1,(1.1-4),0.0246
ENSG00000157020,2.62,(1.3-5.5),0.0103
ENSG00000276566,0.619,(0.45-0.85),0.00276
ENSG00000115758,1.83,(1.1-3),0.0168
ENSG00000146425,0.479,(0.25-0.91),0.0254
ENSG00000070087,2.25,(1.3-3.8),0.0025
ENSG00000113648,2.08,(1-4.2),0.0442
ENSG00000253352,2.28,(1.1-4.7),0.0242
ENSG00000163399,2.35,(1.1-4.9),0.022
ENSG00000042753,0.206,(0.067-0.64),0.00635
ENSG00000127314,0.569,(0.35-0.93),0.0253
ENSG00000169020,0.344,(0.15-0.8),0.0135
ENSG00000183087,0.43,(0.2-0.92),0.0303
ENSG00000170142,2.39,(1.1-5.1),0.0234
ENSG00000211592,0.721,(0.59-0.88),0.0013
ENSG00000044115,5.19,(1.8-15),0.00213
ENSG00000100804,2,(1-3.9),0.0447
ENSG00000129055,3.11,(1.2-8.1),0.0196
ENSG00000148175,0.513,(0.36-0.74),0.000353
ENSG00000135446,2.09,(1.1-4.1),0.0328
ENSG00000164687,0.672,(0.48-0.93),0.0173
ENSG00000072506,2.13,(1-4.4),0.04
ENSG00000010256,2.52,(1.1-5.6),0.0248
ENSG00000205352,0.49,(0.29-0.84),0.00969
ENSG00000134986,1.9,(1.3-2.8),0.00165
ENSG00000130429,0.592,(0.37-0.94),0.0257
ENSG00000167986,2.84,(1.1-7.1),0.0265
ENSG00000168036,2.91,(1.3-6.3),0.00736
ENSG00000140391,2.38,(1.4-4.2),0.00269
ENSG00000129538,0.658,(0.46-0.94),0.0221
ENSG00000118515,0.616,(0.45-0.84),0.00203
ENSG00000140105,0.457,(0.29-0.72),0.000666
ENSG00000132386,0.749,(0.57-0.98),0.0349
ENSG00000282307,0.749,(0.57-0.98),0.0349
ENSG00000143183,2.15,(1-4.6),0.0495
ENSG00000125991,5.64,(2.3-14),0.000141
ENSG00000285443,0.396,(0.17-0.95),0.0369
ENSG00000159840,0.396,(0.17-0.95),0.0369
ENSG00000093072,0.45,(0.27-0.75),0.00217
ENSG00000170540,0.642,(0.45-0.92),0.0149
ENSG00000026297,0.63,(0.43-0.93),0.0185
ENSG00000206053,1.92,(1-3.6),0.0409
ENSG00000184117,2.26,(1.3-3.9),0.00399
ENSG00000241685,2.14,(1.1-4.3),0.0305
ENSG00000096696,1.5,(1.1-2.1),0.0199
ENSG00000173726,1.77,(1.1-2.9),0.0219
ENSG00000120675,0.646,(0.46-0.9),0.0103
ENSG00000105404,0.285,(0.11-0.75),0.0109
ENSG00000138801,2.47,(1.1-5.3),0.0206
ENSG00000127481,0.442,(0.21-0.95),0.036
ENSG00000157110,0.642,(0.44-0.94),0.0211
ENSG00000075142,2.08,(1.1-4),0.0256
ENSG00000143119,0.642,(0.47-0.88),0.00541
ENSG00000089327,0.631,(0.45-0.89),0.00926
ENSG00000143252,2.65,(1.2-5.8),0.0148
ENSG00000004487,2.29,(1.2-4.5),0.0161
ENSG00000091039,0.554,(0.35-0.89),0.0135
ENSG00000189060,2.05,(1.2-3.4),0.00515
ENSG00000196743,0.6,(0.36-1),0.0493
ENSG00000223680,2.58,(1.5-4.3),0.000304
ENSG00000215522,2.58,(1.5-4.3),0.000304
ENSG00000230456,2.58,(1.5-4.3),0.000304
ENSG00000137332,2.58,(1.5-4.3),0.000304
ENSG00000234078,2.58,(1.5-4.3),0.000304
ENSG00000204580,2.58,(1.5-4.3),0.000304
ENSG00000229767,2.58,(1.5-4.3),0.000304
ENSG00000105698,0.276,(0.09-0.84),0.0235
ENSG00000212993,0.641,(0.46-0.9),0.00967
ENSG00000111269,0.449,(0.23-0.86),0.0153
ENSG00000143442,2.2,(1.2-4.1),0.012
ENSG00000136003,0.494,(0.32-0.77),0.00202
ENSG00000158864,5.88,(1.9-18),0.00187
ENSG00000178950,0.262,(0.11-0.62),0.00244
ENSG00000140350,2.06,(1.2-3.4),0.00555
ENSG00000173372,0.776,(0.61-0.99),0.0397
ENSG00000173473,1.78,(1-3.1),0.044
ENSG00000067182,0.565,(0.33-0.96),0.0331
ENSG00000226467,2.8,(1.3-6),0.00844
ENSG00000236873,2.8,(1.3-6),0.00844
ENSG00000206324,2.8,(1.3-6),0.00844
ENSG00000228892,2.8,(1.3-6),0.00844
ENSG00000204310,2.8,(1.3-6),0.00844
ENSG00000227642,2.8,(1.3-6),0.00844
ENSG00000235758,2.8,(1.3-6),0.00844
ENSG00000170873,0.546,(0.31-0.96),0.0368
ENSG00000177733,2.05,(1.1-3.9),0.0268
ENSG00000152556,1.93,(1.2-3.2),0.00884
ENSG00000124357,0.495,(0.29-0.85),0.0109
ENSG00000073584,2.07,(1.1-4),0.0301
ENSG00000136504,0.47,(0.27-0.82),0.00846
ENSG00000105568,4.82,(1.4-16),0.0108
ENSG00000225824,0.692,(0.5-0.95),0.0234
ENSG00000231939,0.692,(0.5-0.95),0.0234
ENSG00000179344,0.692,(0.5-0.95),0.0234
ENSG00000231286,0.692,(0.5-0.95),0.0234
ENSG00000206237,0.692,(0.5-0.95),0.0234
ENSG00000206302,0.692,(0.5-0.95),0.0234
ENSG00000233209,0.692,(0.5-0.95),0.0234
ENSG00000063978,0.336,(0.14-0.79),0.0128
ENSG00000198700,2.79,(1.5-5.1),0.000889
ENSG00000101444,1.72,(1.1-2.7),0.0193
ENSG00000048740,0.61,(0.39-0.96),0.0336
ENSG00000101365,3.4,(1.2-9.3),0.0175
ENSG00000228315,0.467,(0.3-0.73),0.000697
ENSG00000103978,0.451,(0.23-0.9),0.0243
ENSG00000101856,2.71,(1.3-5.7),0.00821
ENSG00000131016,0.749,(0.59-0.96),0.0221
ENSG00000211666,0.656,(0.48-0.89),0.00624
ENSG00000163541,2.1,(1.1-3.9),0.0202
ENSG00000213585,3.2,(1.5-6.9),0.00278
ENSG00000164300,0.527,(0.32-0.88),0.0137
ENSG00000167315,1.8,(1.1-3.1),0.0321
ENSG00000262666,9.02,(2.9-28),0.00012
ENSG00000160767,9.02,(2.9-28),0.00012
ENSG00000117139,1.67,(1-2.7),0.0318
ENSG00000148154,0.571,(0.4-0.83),0.00298
ENSG00000168137,2.12,(1-4.3),0.0369
ENSG00000117906,1.83,(1.1-3),0.0169
ENSG00000276482,0.286,(0.09-0.91),0.0334
ENSG00000113504,0.286,(0.09-0.91),0.0334
ENSG00000143621,1.84,(1-3.2),0.0353
ENSG00000185630,2.09,(1.3-3.3),0.00172
ENSG00000177575,0.75,(0.57-0.99),0.0408
ENSG00000137642,0.499,(0.26-0.95),0.0332
ENSG00000274829,0.433,(0.21-0.89),0.0231
ENSG00000140694,0.433,(0.21-0.89),0.0231
ENSG00000116521,4.65,(1.4-16),0.0136
ENSG00000263290,4.65,(1.4-16),0.0136
ENSG00000206428,0.572,(0.36-0.92),0.0199
ENSG00000204472,0.572,(0.36-0.92),0.0199
ENSG00000237727,0.572,(0.36-0.92),0.0199
ENSG00000235985,0.572,(0.36-0.92),0.0199
ENSG00000235588,0.572,(0.36-0.92),0.0199
ENSG00000234836,0.572,(0.36-0.92),0.0199
ENSG00000288512,0.738,(0.57-0.96),0.0231
ENSG00000159403,0.738,(0.57-0.96),0.0231
ENSG00000168090,3.38,(1.2-9.5),0.0212
ENSG00000135845,3.45,(1.4-8.3),0.0058
ENSG00000196576,1.99,(1-3.9),0.0492
ENSG00000136167,0.523,(0.33-0.84),0.00742
ENSG00000184205,0.401,(0.18-0.88),0.0232
ENSG00000122515,0.131,(0.034-0.51),0.00325
ENSG00000133731,0.623,(0.41-0.94),0.0248
ENSG00000125968,1.49,(1.1-2.1),0.0215
ENSG00000169689,3.52,(1.4-8.6),0.00596
ENSG00000184344,0.758,(0.63-0.91),0.00243
ENSG00000077454,0.202,(0.073-0.56),0.00207
ENSG00000128340,0.586,(0.4-0.85),0.00473
ENSG00000152601,0.688,(0.5-0.95),0.0236
ENSG00000000003,1.71,(1.1-2.6),0.0112
ENSG00000173801,1.7,(1.2-2.5),0.00525
ENSG00000138768,0.379,(0.17-0.85),0.0183
ENSG00000143727,2.19,(1.1-4.2),0.0174
ENSG00000117691,3.06,(1.4-6.6),0.00473
ENSG00000103653,0.463,(0.22-0.99),0.0464
ENSG00000132155,2.08,(1-4.3),0.0463
ENSG00000010810,0.618,(0.39-0.98),0.0399
ENSG00000066777,0.569,(0.34-0.95),0.0318
ENSG00000168884,0.28,(0.084-0.94),0.039
ENSG00000101158,2.7,(1.2-5.9),0.0139
ENSG00000166165,1.55,(1.1-2.2),0.0165
ENSG00000115540,2.7,(1-7.2),0.0463
ENSG00000079819,0.431,(0.25-0.75),0.00284
ENSG00000133318,2.07,(1.1-3.8),0.0198
ENSG00000092068,0.41,(0.22-0.77),0.00522
ENSG00000158195,0.329,(0.13-0.86),0.0228
ENSG00000077942,1.57,(1-2.4),0.0475
ENSG00000163565,0.726,(0.56-0.94),0.0155
ENSG00000170542,0.712,(0.57-0.9),0.00375
ENSG00000160753,1.97,(1.1-3.4),0.0139
ENSG00000002549,0.619,(0.43-0.88),0.00817
ENSG00000211899,0.659,(0.51-0.85),0.00112
ENSG00000149091,0.507,(0.26-0.99),0.0461
ENSG00000059573,2.75,(1.4-5.3),0.00247
ENSG00000177105,0.43,(0.24-0.78),0.00512
ENSG00000111704,0.791,(0.67-0.94),0.00712
ENSG00000162736,3.6,(1.2-11),0.0236
ENSG00000132254,3.09,(1.1-8.7),0.0322
ENSG00000182195,2.11,(1.2-3.9),0.0152
ENSG00000067141,2.21,(1.4-3.6),0.0011
ENSG00000167815,2.04,(1.2-3.4),0.00619
ENSG00000102978,3.8,(1.3-11),0.0133
ENSG00000134285,0.463,(0.3-0.72),0.000748
ENSG00000008130,0.494,(0.25-0.97),0.0393
ENSG00000162694,3.15,(1.8-5.6),7.75e-05
ENSG00000099284,1.77,(1.1-2.9),0.0261
ENSG00000137193,0.522,(0.3-0.9),0.0183
ENSG00000184897,1.88,(1.1-3.3),0.0288
ENSG00000116906,2.13,(1.3-3.6),0.00409
ENSG00000157191,0.406,(0.2-0.82),0.0117
ENSG00000129071,0.412,(0.2-0.87),0.0203
ENSG00000175354,0.44,(0.21-0.91),0.0258
ENSG00000240563,0.807,(0.66-0.99),0.035
ENSG00000163159,2.4,(1.2-4.8),0.0144
ENSG00000170266,2.44,(1.4-4.4),0.00262
ENSG00000102316,1.97,(1.2-3.2),0.00624
ENSG00000067369,3.18,(1.2-8.7),0.0239
ENSG00000166803,1.59,(1.1-2.2),0.00587
ENSG00000091483,2.54,(1.2-5.5),0.0182
ENSG00000181467,0.53,(0.28-0.99),0.0449
ENSG00000172939,2.88,(1.2-6.9),0.0174
ENSG00000103202,1.88,(1.1-3.1),0.0151
ENSG00000112715,1.71,(1.1-2.7),0.0256
ENSG00000107625,2.87,(1.1-7.7),0.0362
ENSG00000196154,0.667,(0.47-0.94),0.0198
ENSG00000241839,0.409,(0.19-0.89),0.0251
ENSG00000181191,2.18,(1.1-4.4),0.0278
ENSG00000170458,0.758,(0.58-0.98),0.038
ENSG00000143314,3.18,(1.1-9.5),0.0387
ENSG00000134291,2.23,(1.3-3.9),0.00513
ENSG00000243189,0.76,(0.6-0.96),0.0206
ENSG00000242361,0.76,(0.6-0.96),0.0206
ENSG00000243215,0.76,(0.6-0.96),0.0206
ENSG00000241394,0.76,(0.6-0.96),0.0206
ENSG00000204257,0.76,(0.6-0.96),0.0206
ENSG00000242685,0.76,(0.6-0.96),0.0206
ENSG00000239463,0.76,(0.6-0.96),0.0206
ENSG00000243719,0.76,(0.6-0.96),0.0206
ENSG00000162775,0.535,(0.29-0.98),0.044
ENSG00000186205,1.74,(1.1-2.8),0.0208
ENSG00000172292,1.97,(1.1-3.4),0.0149
ENSG00000187239,0.628,(0.43-0.91),0.0145
ENSG00000143363,2.62,(1-6.8),0.0455
ENSG00000131844,6.33,(1.9-21),0.00265
ENSG00000281742,6.33,(1.9-21),0.00265
ENSG00000275300,6.33,(1.9-21),0.00265
ENSG00000174106,0.263,(0.079-0.88),0.03
ENSG00000104960,2.82,(1.5-5.1),0.000735
ENSG00000136826,0.769,(0.63-0.94),0.00848
ENSG00000141560,4.81,(1.4-17),0.0143
ENSG00000158747,0.557,(0.32-0.98),0.0429
ENSG00000112308,0.454,(0.26-0.79),0.00498
ENSG00000074201,2.83,(1.2-6.9),0.0219
ENSG00000116698,2.13,(1.1-4.3),0.0348
ENSG00000176619,1.86,(1-3.4),0.0397
ENSG00000100462,2.17,(1.1-4.3),0.0263
ENSG00000131374,3.27,(1.3-8.1),0.011
ENSG00000141424,1.66,(1-2.6),0.0305
ENSG00000242265,1.53,(1.1-2.1),0.00463
ENSG00000170017,1.48,(1.1-2.1),0.0194
ENSG00000158869,0.661,(0.48-0.91),0.0123
ENSG00000005810,0.649,(0.44-0.95),0.0282
ENSG00000165916,1.78,(1-3.1),0.0449
ENSG00000106070,1.78,(1.1-2.9),0.0186
ENSG00000172466,2.99,(1.3-6.7),0.0076
ENSG00000109079,2.32,(1-5.4),0.0499
ENSG00000196821,0.447,(0.23-0.89),0.0211
ENSG00000124181,2.16,(1.2-4),0.0151
ENSG00000100211,3.24,(1.1-9.2),0.0276
ENSG00000025708,0.548,(0.35-0.85),0.00652
ENSG00000136732,0.512,(0.27-0.98),0.0431
ENSG00000096092,2.39,(1.4-4.1),0.0018
ENSG00000100100,0.334,(0.16-0.68),0.00258
ENSG00000142949,1.85,(1.2-2.8),0.00269
ENSG00000046651,0.416,(0.18-0.96),0.0394
ENSG00000147168,0.563,(0.37-0.86),0.00741
ENSG00000105438,2.15,(1.1-4.3),0.0322
ENSG00000160113,1.69,(1.1-2.5),0.00826
ENSG00000105854,2.23,(1.5-3.4),0.000233
ENSG00000114019,1.8,(1.1-3),0.0271
ENSG00000128641,1.96,(1.1-3.7),0.0345
ENSG00000197965,2.56,(1.3-5),0.00589
ENSG00000059378,0.601,(0.39-0.92),0.0199
ENSG00000111679,0.497,(0.3-0.82),0.00647
ENSG00000100288,0.231,(0.072-0.74),0.014
ENSG00000080546,0.322,(0.17-0.61),0.000566
ENSG00000189319,0.343,(0.13-0.92),0.0343
ENSG00000176390,0.525,(0.32-0.86),0.0114
ENSG00000054523,1.69,(1-2.8),0.0447
ENSG00000163362,1.67,(1.2-2.3),0.00285
ENSG00000164164,0.196,(0.075-0.51),0.000877
ENSG00000262327,2.97,(1-8.6),0.0432
ENSG00000006530,2.97,(1-8.6),0.0432
ENSG00000150867,0.52,(0.34-0.8),0.00301
ENSG00000100320,2.95,(1.4-6.3),0.00546
ENSG00000277564,2.95,(1.4-6.3),0.00546
ENSG00000143486,3.43,(1.4-8.5),0.00736
ENSG00000242574,0.651,(0.45-0.94),0.0216
ENSG00000242386,0.651,(0.45-0.94),0.0216
ENSG00000226264,0.651,(0.45-0.94),0.0216
ENSG00000234154,0.651,(0.45-0.94),0.0216
ENSG00000239329,0.651,(0.45-0.94),0.0216
ENSG00000242092,0.651,(0.45-0.94),0.0216
ENSG00000241674,0.651,(0.45-0.94),0.0216
ENSG00000241296,0.651,(0.45-0.94),0.0216
ENSG00000092531,0.672,(0.46-0.97),0.0361
ENSG00000165821,1.94,(1.3-3),0.00195
ENSG00000116514,0.33,(0.15-0.74),0.00726
ENSG00000188157,2.7,(1.4-5.1),0.00189
ENSG00000158793,3.18,(1.2-8.7),0.0249
ENSG00000165795,2.18,(1.2-4),0.012
ENSG00000285112,0.22,(0.071-0.68),0.00888
ENSG00000185803,0.22,(0.071-0.68),0.00888
ENSG00000182871,1.53,(1-2.3),0.0484
ENSG00000175970,2.2,(1.2-4),0.00906
ENSG00000106991,0.554,(0.33-0.94),0.0293
ENSG00000135148,0.221,(0.05-0.97),0.0459
ENSG00000130303,0.655,(0.49-0.88),0.00554
ENSG00000234495,4.58,(1.6-13),0.00496
ENSG00000215641,4.58,(1.6-13),0.00496
ENSG00000229006,4.58,(1.6-13),0.00496
ENSG00000233948,4.58,(1.6-13),0.00496
ENSG00000237071,4.58,(1.6-13),0.00496
ENSG00000237462,4.58,(1.6-13),0.00496
ENSG00000204713,4.58,(1.6-13),0.00496
ENSG00000105135,6,(1.9-19),0.00211
ENSG00000128294,0.493,(0.32-0.75),0.000981
ENSG00000168918,0.444,(0.27-0.73),0.00143
ENSG00000281614,0.444,(0.27-0.73),0.00143
ENSG00000105894,1.33,(1-1.7),0.0324
ENSG00000110492,1.49,(1-2.1),0.0331
ENSG00000213722,1.91,(1.2-3.1),0.00905
ENSG00000225635,1.91,(1.2-3.1),0.00905
ENSG00000233076,1.91,(1.2-3.1),0.00905
ENSG00000226634,1.91,(1.2-3.1),0.00905
ENSG00000227317,1.91,(1.2-3.1),0.00905
ENSG00000228128,1.91,(1.2-3.1),0.00905
ENSG00000206395,1.91,(1.2-3.1),0.00905
ENSG00000102038,1.56,(1-2.4),0.0332
ENSG00000066468,1.67,(1.1-2.6),0.0263
ENSG00000137710,1.66,(1-2.7),0.0393
ENSG00000115365,1.72,(1-2.9),0.0416
ENSG00000136147,0.599,(0.42-0.86),0.00615
ENSG00000121413,2.68,(1.4-5.1),0.00236
ENSG00000112679,0.388,(0.18-0.86),0.0195
ENSG00000167106,0.303,(0.12-0.77),0.0122
ENSG00000254087,0.712,(0.53-0.95),0.0226
ENSG00000186350,1.62,(1-2.5),0.0357
ENSG00000132274,0.767,(0.62-0.95),0.0129
ENSG00000117984,0.597,(0.36-0.98),0.0395
ENSG00000134313,2.6,(1.4-4.8),0.00221
ENSG00000132128,7.68,(2.6-23),0.000222
ENSG00000112297,0.596,(0.41-0.85),0.00496
ENSG00000153774,1.81,(1.1-3.1),0.026
ENSG00000152767,2.42,(1.4-4.3),0.0027
ENSG00000118271,1.4,(1.1-1.7),0.00282
ENSG00000105939,0.46,(0.26-0.81),0.00709
ENSG00000087077,2.28,(1.1-4.6),0.0198
ENSG00000211669,0.621,(0.44-0.88),0.00669
ENSG00000139636,0.392,(0.16-0.95),0.0375
ENSG00000142227,0.68,(0.48-0.96),0.0296
ENSG00000010610,0.611,(0.38-0.99),0.0456
ENSG00000232653,0.578,(0.34-1),0.0485
ENSG00000283589,0.578,(0.34-1),0.0485
ENSG00000277734,0.445,(0.24-0.81),0.00861
ENSG00000100364,0.452,(0.24-0.84),0.0118
ENSG00000011600,0.737,(0.57-0.95),0.0184
ENSG00000117091,0.481,(0.29-0.8),0.00446
ENSG00000101337,2.95,(1.7-5.1),8.51e-05
ENSG00000107562,0.741,(0.6-0.92),0.00565
ENSG00000148337,2.53,(1.1-5.6),0.0215
ENSG00000115956,0.392,(0.18-0.84),0.0162
ENSG00000256453,0.66,(0.47-0.92),0.0133
ENSG00000007237,0.346,(0.19-0.64),0.00071
ENSG00000137767,0.648,(0.44-0.95),0.0266
ENSG00000240382,0.638,(0.49-0.84),0.00121
ENSG00000006704,2.36,(1.3-4.4),0.00593
ENSG00000167994,0.165,(0.03-0.92),0.0401
ENSG00000126883,0.325,(0.12-0.86),0.0233
ENSG00000163131,0.731,(0.54-0.99),0.0436
ENSG00000130147,1.79,(1-3.1),0.0418
ENSG00000113758,2.14,(1.2-3.9),0.0143
ENSG00000026508,0.597,(0.37-0.97),0.038
ENSG00000186591,3.24,(1.1-9.3),0.0293
ENSG00000165175,0.492,(0.28-0.86),0.013
ENSG00000138755,0.712,(0.53-0.96),0.0242
ENSG00000160752,2.67,(1.3-5.4),0.00586
ENSG00000095059,3.26,(1.3-8.5),0.0156
ENSG00000144848,0.651,(0.44-0.96),0.0283
ENSG00000165458,1.98,(1.1-3.7),0.0332
ENSG00000141736,2.53,(1.4-4.7),0.00374
ENSG00000158850,6.9,(2.1-23),0.00156
ENSG00000046604,1.77,(1.2-2.6),0.00259
ENSG00000213190,1.43,(1-1.9),0.0252
ENSG00000104332,1.37,(1-1.9),0.042
ENSG00000106524,1.7,(1.1-2.5),0.00866
ENSG00000076864,4.1,(1.2-14),0.0205
ENSG00000160255,0.675,(0.52-0.88),0.00403
ENSG00000135052,1.74,(1.2-2.6),0.00454
ENSG00000074370,0.411,(0.22-0.78),0.0068
ENSG00000169442,0.611,(0.42-0.89),0.0105
ENSG00000127528,0.624,(0.43-0.9),0.0108
ENSG00000180448,0.524,(0.31-0.87),0.013
ENSG00000113048,3.01,(1.4-6.6),0.00592
ENSG00000005302,0.353,(0.16-0.8),0.0124
ENSG00000116679,2.2,(1.3-3.8),0.00364
ENSG00000143376,2.52,(1.1-6),0.0382
ENSG00000129682,1.58,(1-2.5),0.0462
ENSG00000230230,0.6,(0.37-0.99),0.0438
ENSG00000137313,0.6,(0.37-0.99),0.0438
ENSG00000234046,0.6,(0.37-0.99),0.0438
ENSG00000228881,0.6,(0.37-0.99),0.0438
ENSG00000231641,0.6,(0.37-0.99),0.0438
ENSG00000226060,0.6,(0.37-0.99),0.0438
ENSG00000231002,0.6,(0.37-0.99),0.0438
ENSG00000234127,0.6,(0.37-0.99),0.0438
ENSG00000118200,2.18,(1.3-3.6),0.00261
ENSG00000123737,0.246,(0.075-0.8),0.0202
ENSG00000214078,1.76,(1.1-2.9),0.0317
ENSG00000110090,0.364,(0.19-0.71),0.00299
ENSG00000102096,0.331,(0.19-0.58),8.59e-05
ENSG00000171867,0.788,(0.62-0.99),0.045
ENSG00000075388,0.62,(0.42-0.91),0.0153
ENSG00000106077,1.72,(1.1-2.8),0.0282
ENSG00000119681,0.624,(0.41-0.95),0.0292
ENSG00000077097,2.17,(1.2-4.1),0.0147
ENSG00000188603,2.59,(1-6.4),0.0409
ENSG00000143061,2.27,(1.3-4),0.00507
ENSG00000185043,0.432,(0.25-0.74),0.00195
ENSG00000002919,0.235,(0.069-0.8),0.0202
ENSG00000172724,0.754,(0.59-0.96),0.0205
ENSG00000237872,0.714,(0.54-0.95),0.0198
ENSG00000180353,0.726,(0.55-0.96),0.0241
ENSG00000197329,0.525,(0.31-0.88),0.015
ENSG00000122490,0.509,(0.26-0.99),0.046
ENSG00000143797,2.95,(1.4-6.1),0.00334
ENSG00000168795,2.59,(1-6.4),0.0411
ENSG00000007255,1.92,(1-3.6),0.0462
ENSG00000044090,5.45,(2.1-14),0.000517
ENSG00000203624,2.73,(1-7.4),0.0499
