,ENSEMBL,logFC,AveExpr,t,P.Value,adj.P.Val,B
FZD5,ENSG00000163251,5.032846252,9.481102191,7.963544569,5.18E-09,1.78E-07,10.40352547
DSP,ENSG00000096696,4.312188849,9.993829146,12.12872257,2.39E-13,2.20E-11,20.42504826
ELOVL6,ENSG00000170522,3.742833812,8.1287093,6.571241488,2.36E-07,5.14E-06,6.572880692
LIN28A,ENSG00000131914,3.645572198,9.058878312,6.37097379,4.16E-07,8.50E-06,6.007453825
SERPINA1,ENSG00000197249,3.492788988,9.84754072,4.279692788,0.000165137,0.00146517,0.075463218
CDH1,ENSG00000039068,3.433899002,8.156763345,4.902618001,2.79E-05,0.000322377,1.8230601
LYZ,ENSG00000090382,3.391997556,8.930052004,4.531729616,8.08E-05,0.000787809,0.777006558
SOX17,ENSG00000164736,3.369333365,9.113686276,10.31580418,1.40E-11,8.67E-10,16.34211174
APOA2,ENSG00000158874,3.334013955,8.011494754,2.335742755,0.026102551,0.093552638,-4.738103355
APOE,ENSG00000130203,3.299547934,10.66210817,8.314139387,2.05E-09,7.84E-08,11.33411155
ST6GAL1,ENSG00000073849,3.211177496,9.396449297,13.97378732,5.62E-15,7.67E-13,24.17132889
CCND2,ENSG00000118971,3.154813571,10.3899405,4.816934155,3.57E-05,0.000399997,1.580272248
F2RL1,ENSG00000164251,3.12259507,7.77173544,6.886171359,9.79E-08,2.32E-06,7.455890135
DERA,ENSG00000023697,3.119808979,8.724994419,6.608178128,2.13E-07,4.69E-06,6.676854441
CRIP1,ENSG00000213145,3.052317666,8.681716143,5.456466251,5.68E-06,8.07E-05,3.40167088
COL4A1,ENSG00000187498,2.900210286,10.38283108,7.432985558,2.17E-08,6.14E-07,8.967498596
C1QB,ENSG00000173369,2.836495391,8.496093776,4.543191183,7.82E-05,0.000763531,0.80911618
TXN,ENSG00000136810,2.82613249,9.86282542,6.257235026,5.75E-07,1.13E-05,5.685175956
KRT19,ENSG00000171345,2.800386812,7.927060043,2.136775654,0.040560678,0.13131359,-5.13182722
EFEMP1,ENSG00000115380,2.797724852,8.9210805,3.682688524,0.000868618,0.005887616,-1.539124272
IGHM,ENSG00000211899,2.78967006,8.538538472,2.678421395,0.01169489,0.049013184,-4.004334269
MMP9,ENSG00000100985,2.768656893,9.963045011,3.89055179,0.000490612,0.003629316,-0.986075442
MDK,ENSG00000110492,2.764586578,9.093569935,6.021874351,1.12E-06,2.05E-05,5.016091886
LAPTM5,ENSG00000162511,2.761837684,10.3087621,6.898973861,9.45E-08,2.25E-06,7.491609282
PLXNA2,ENSG00000076356,2.739552868,8.565557839,5.207789898,1.16E-05,0.000152194,2.691481838
CST1,ENSG00000170373,2.731255696,7.558467805,2.127207423,0.041408558,0.133275658,-5.150113567
COL1A1,ENSG00000108821,2.723530168,10.30309739,4.337062472,0.000140407,0.00127496,0.234326349
TYROBP,ENSG00000011600,2.698336834,8.45008209,5.208448147,1.16E-05,0.00015205,2.693359651
HLA-DRA,ENSG00000204287,2.645802534,9.992137152,4.234749633,0.000187467,0.001618201,-0.048611845
PODXL,ENSG00000128567,2.639325962,9.422650673,4.469649445,9.64E-05,0.000918837,0.60337777
SPINT1,ENSG00000166145,2.609738377,8.85052949,11.78985922,4.97E-13,4.16E-11,19.69345691
RGS1,ENSG00000090104,2.606968316,6.912740984,4.523639453,8.26E-05,0.000800188,0.75435173
CXCR4,ENSG00000121966,2.604027126,9.905438899,7.131271449,4.96E-08,1.27E-06,8.13709593
FN1,ENSG00000115414,2.599742603,11.8853992,3.823815021,0.000589908,0.004256724,-1.164838957
CCKBR,ENSG00000110148,2.589325079,8.001352829,2.375137786,0.023865912,0.087193947,-4.657203334
IGKC,ENSG00000211592,2.584317161,9.948161137,2.373739227,0.023942235,0.087383671,-4.66009145
RAB15,ENSG00000139998,2.578948748,10.00834158,6.370659239,4.17E-07,8.50E-06,6.00656363
COL4A2,ENSG00000134871,2.547443553,11.0777831,7.31025365,3.03E-08,8.21E-07,8.630843772
IGKV1-17,ENSG00000240382,2.540373254,8.299485064,2.319587197,0.027073474,0.096190382,-4.771005777
ESRP1,ENSG00000104413,2.536040123,9.447206622,6.543444856,2.56E-07,5.52E-06,6.494568606
CD9,ENSG00000010278,2.531200849,10.54882025,4.498889069,8.87E-05,0.000850577,0.685094655
CYBA,ENSG00000051523,2.527674926,9.395806057,8.602124901,9.70E-10,4.04E-08,12.086999
LOXL2,ENSG00000134013,2.523249031,8.948725437,5.337323427,8.00E-06,0.000109751,3.061254145
GDF3,ENSG00000184344,2.503980156,9.460871604,3.500060049,0.001424061,0.008941881,-2.015133781
LMNB1,ENSG00000113368,2.503838592,7.918984834,5.863381292,1.77E-06,3.01E-05,4.564222094
ADM,ENSG00000148926,2.501367767,8.252758572,3.78972395,0.00064794,0.004605321,-1.25573066
ISG15,ENSG00000187608,2.500575816,9.316289588,3.704988312,0.00081732,0.005611603,-1.480337189
APOC1,ENSG00000130208,2.494018219,10.83975424,7.017508768,6.80E-08,1.66E-06,7.821616648
PPM1H,ENSG00000111110,2.485020941,7.789456512,6.618345353,2.07E-07,4.59E-06,6.705456315
ZMIZ1,ENSG00000108175,2.483971422,10.01009741,9.301321636,1.64E-10,8.07E-09,13.87014725
ENO2,ENSG00000111674,2.435000105,9.05727478,3.937186853,0.000431121,0.003258191,-0.86052798
GSTP1,ENSG00000084207,2.433834667,10.41340863,9.139641185,2.47E-10,1.17E-08,13.46353607
C1QA,ENSG00000173372,2.416910044,9.346255058,3.855098154,0.000541136,0.003946633,-1.081177812
GLDC,ENSG00000178445,2.412664397,9.855118278,4.944778754,2.48E-05,0.000291959,1.942721316
PRDX2,ENSG00000167815,2.395956889,8.983711266,5.300870533,8.89E-06,0.00012062,2.957149667
CD24,ENSG00000272398,2.391771217,9.504850294,2.804331656,0.008598618,0.037935687,-3.718786854
VTN,ENSG00000109072,2.357016678,8.973441541,2.233380626,0.032827745,0.111837557,-4.943824211
IGKV4-1,ENSG00000211598,2.333244406,8.209621265,2.387400641,0.023206112,0.085349174,-4.63182938
LAMB1,ENSG00000091136,2.332578422,7.552656012,3.005897644,0.005190083,0.025433893,-3.245766185
POSTN,ENSG00000133110,2.332110917,8.644653728,2.623172313,0.013357467,0.054654241,-4.127055007
CENPA,ENSG00000115163,2.314023346,8.649382197,5.426264738,6.20E-06,8.73E-05,3.315361076
AFP,ENSG00000081051,2.311197739,7.837573733,1.812359888,0.079561266,0.214897903,-5.716305119
GSTO1,ENSG00000148834,2.308282114,10.13173199,7.685141805,1.09E-08,3.38E-07,9.654011247
PFN1,ENSG00000108518,2.303703897,11.97655565,10.08046301,2.46E-11,1.44E-09,15.78085388
CD74,ENSG00000019582,2.297169411,10.95259645,4.202637108,0.000205217,0.001749293,-0.137052505
RAB25,ENSG00000132698,2.28546159,7.97641818,3.432493839,0.001706412,0.010432704,-2.188616534
KRT8,ENSG00000170421,2.282214347,9.01175188,2.949545901,0.005985648,0.028589448,-3.379883885
GPC3,ENSG00000147257,2.281443469,8.165098636,2.153942205,0.039078086,0.127900844,-5.098866628
LASP1,ENSG00000002834,2.278193042,10.3672734,9.840652289,4.37E-11,2.46E-09,15.20137251
SNX10,ENSG00000086300,2.275893833,7.90731719,3.80604956,0.000619487,0.004442754,-1.212240991
POU5F1P3,ENSG00000235602,2.267246246,7.861456289,2.40245575,0.022418797,0.083287253,-4.600554704
SEMA4C,ENSG00000168758,2.254957747,10.173867,8.144740609,3.21E-09,1.19E-07,10.88636477
QPRT,ENSG00000103485,2.236901891,8.774846668,7.102316704,5.37E-08,1.36E-06,8.056919075
DSG2,ENSG00000046604,2.226270094,9.075795123,5.392492734,6.83E-06,9.48E-05,3.218859646
APOB,ENSG00000084674,2.225759457,7.77970626,1.885591433,0.06868816,0.192948961,-5.590962976
P3H2,ENSG00000090530,2.22372931,9.161500856,3.166769087,0.003434104,0.018250133,-2.855414267
PDZK1,ENSG00000174827,2.222124153,6.569600339,2.185113911,0.036508876,0.120844463,-5.038518042
IER5,ENSG00000162783,2.210368504,9.388242379,6.767706102,1.36E-07,3.13E-06,7.124691941
GATA3,ENSG00000107485,2.207669538,9.11705042,2.876960361,0.007180736,0.032864266,-3.550522179
XIST,ENSG00000229807,2.205530896,8.97234489,2.560702483,0.015499669,0.061813181,-4.263842631
CTSB,ENSG00000164733,2.185550092,11.09288231,7.091662223,5.53E-08,1.39E-06,8.02739582
TUBB2B,ENSG00000137285,2.18141022,6.38489448,3.779432079,0.000666527,0.004718708,-1.283111964
FCER1G,ENSG00000158869,2.177203657,8.910258603,4.46401258,9.79E-05,0.000931826,0.587637268
FGF13,ENSG00000129682,2.173051249,9.335707591,5.282608811,9.37E-06,0.000125818,2.90500841
FKBP11,ENSG00000134285,2.171008825,9.368098225,4.86013926,3.16E-05,0.000359265,1.702624635
ID3,ENSG00000117318,2.167988786,7.764390779,4.050532909,0.000314413,0.002514075,-0.553362243
CTSC,ENSG00000109861,2.167299571,9.519055112,4.188540898,0.000213522,0.00180932,-0.175816955
MYOF,ENSG00000138119,2.163673006,8.168408775,4.855563869,3.20E-05,0.00036286,1.689660614
CCL5,ENSG00000271503,2.158705195,7.463497949,2.961221977,0.00581189,0.027880341,-3.352210789
BMP2,ENSG00000125845,2.149765877,7.560677096,2.570203848,0.015154594,0.06069038,-4.243175252
ANP32E,ENSG00000143401,2.145403449,9.565187565,6.000743619,1.19E-06,2.16E-05,4.955899132
VAMP8,ENSG00000118640,2.130373788,9.490714067,9.495971558,1.02E-10,5.25E-09,14.35506753
PHB2,ENSG00000215021,2.127940445,12.15020835,7.139229864,4.85E-08,1.25E-06,8.1591187
FKBP1B,ENSG00000119782,2.117048715,7.957961694,6.87031312,1.02E-07,2.42E-06,7.411625276
BASP1,ENSG00000176788,2.110009523,9.154626918,4.591461023,6.81E-05,0.000681109,0.944517836
GBP1,ENSG00000117228,2.106293817,7.429588424,2.359003165,0.02476001,0.089751121,-4.690450635
VCAN,ENSG00000038427,2.101563,9.945619315,2.527085251,0.016779594,0.065908663,-4.336565036
ENSA,ENSG00000143420,2.097879952,10.13642528,7.749486593,9.19E-09,2.90E-07,9.828045025
GIP,ENSG00000159224,2.096530112,7.494985279,2.125563949,0.041555766,0.133518991,-5.153248342
LBH,ENSG00000213626,2.089765006,9.113726578,7.208635107,4.01E-08,1.05E-06,8.350912459
STAG2,ENSG00000101972,2.08849758,9.781453911,6.371583882,4.15E-07,8.50E-06,6.009180401
APEX1,ENSG00000100823,2.07141912,11.11533743,7.673506316,1.13E-08,3.45E-07,9.622489911
TOR3A,ENSG00000186283,2.069402702,8.814958776,5.208856213,1.16E-05,0.00015205,2.694523765
MRPL15,ENSG00000137547,2.067671335,10.22269767,6.048587211,1.04E-06,1.92E-05,5.09216011
TNFRSF21,ENSG00000146072,2.051565976,9.64175788,5.634868103,3.40E-06,5.24E-05,3.911568628
SMC1A,ENSG00000072501,2.031900204,9.734903246,6.006888514,1.17E-06,2.12E-05,4.973405214
INAVA,ENSG00000163362,2.024018832,9.29247695,4.031029792,0.000332012,0.002624046,-0.606411396
ALCAM,ENSG00000170017,2.022848534,9.146248154,2.947891777,0.006010657,0.028680219,-3.383799312
UTP14A,ENSG00000156697,2.022781387,7.2214894,5.741659959,2.50E-06,4.03E-05,4.21669551
TGFB1,ENSG00000105329,2.016209149,7.911240053,4.741705577,4.43E-05,0.000475435,1.36760777
OSBPL3,ENSG00000070882,2.014168129,8.358302334,3.869396076,0.000520177,0.003818451,-1.0428608
JUP,ENSG00000173801,2.001545812,10.13249106,7.265950796,3.42E-08,9.12E-07,8.508931917
ITGB2,ENSG00000160255,1.995689889,8.341311337,3.29699502,0.002443716,0.013928406,-2.531853659
CYP26A1,ENSG00000095596,1.99200044,8.405400074,2.142913781,0.04002491,0.130108197,-5.1200642
LY6E,ENSG00000160932,1.988172018,9.639024343,7.680260346,1.11E-08,3.40E-07,9.640788923
MEG3,ENSG00000214548,1.985535174,9.022065862,3.718049242,0.000788656,0.005440852,-1.445842209
PQBP1,ENSG00000102103,1.983396675,8.575946553,5.158430125,1.34E-05,0.000172426,2.550715752
SERPINH1,ENSG00000149257,1.981007678,10.45027445,6.20240377,6.71E-07,1.30E-05,5.529547503
TPM1,ENSG00000140416,1.979112904,10.01174165,5.568501445,4.12E-06,6.21E-05,3.721887909
ZFP36L2,ENSG00000152518,1.974217263,10.48874778,7.505420601,1.78E-08,5.16E-07,9.165429369
MSN,ENSG00000147065,1.973013736,9.303460983,4.619234497,6.29E-05,0.000639147,1.022547617
RRM2,ENSG00000171848,1.969818149,9.583924064,5.574837098,4.04E-06,6.11E-05,3.739996602
COL3A1,ENSG00000168542,1.968277387,10.36427788,3.476466665,0.001517106,0.009435162,-2.075881039
ALPL,ENSG00000162551,1.96478173,8.027468116,3.415169747,0.001787081,0.010840077,-2.232854882
IFITM1,ENSG00000185885,1.960464444,10.95371994,4.237639899,0.000185945,0.001613818,-0.040642982
PDLIM1,ENSG00000107438,1.956340534,10.4649973,5.014383138,2.03E-05,0.000244462,2.140525232
ITM2C,ENSG00000135916,1.95490571,10.56738892,4.062420699,0.000304138,0.002455208,-0.520988537
NREP,ENSG00000134986,1.950142683,10.11690192,5.182624446,1.25E-05,0.000162584,2.619702732
LOC124906525,ENSG00000134986,1.950142683,10.11690192,5.182624446,1.25E-05,0.000162584,2.619702732
COL4A6,ENSG00000197565,1.947061072,7.660967908,2.441290025,0.020499059,0.077399477,-4.519262424
SPRED2,ENSG00000198369,1.940433405,8.550538259,4.713432528,4.81E-05,0.000510472,1.287815432
MYCN,ENSG00000134323,1.93787311,9.237350828,5.066293777,1.75E-05,0.000214539,2.288229097
HMGB3,ENSG00000029993,1.93014513,9.939892595,6.491199614,2.96E-07,6.28E-06,6.347226066
POU5F1P4,ENSG00000237872,1.929041755,8.686250068,2.180991175,0.036839791,0.121827224,-5.046536276
AURKB,ENSG00000178999,1.926744518,8.011315363,8.631555073,8.99E-10,3.82E-08,12.16334147
MTHFD1,ENSG00000100714,1.923688237,8.979047017,4.58303618,6.98E-05,0.000695258,0.920865556
ARL4C,ENSG00000188042,1.913281736,8.077108252,6.929587786,8.67E-08,2.09E-06,7.576963001
GPNMB,ENSG00000136235,1.912912277,9.571819101,3.016249731,0.005055271,0.024952454,-3.220976053
IGFBP3,ENSG00000146674,1.912518876,8.95188922,4.77266319,4.06E-05,0.000442311,1.455061749
PIN4,ENSG00000102309,1.912404528,9.532566207,6.260349613,5.70E-07,1.13E-05,5.694011181
ARHGDIB,ENSG00000111348,1.910549279,9.028554289,4.168192697,0.000226096,0.001900138,-0.231710833
HAS2,ENSG00000170961,1.909630419,6.731151812,2.148372945,0.039553703,0.12898612,-5.1095813
GOLM1,ENSG00000135052,1.904546462,9.060818474,4.972389409,2.29E-05,0.000272837,2.021150319
GLRX,ENSG00000173221,1.904240136,8.506156469,5.996960127,1.21E-06,2.17E-05,4.945119683
SMAD7,ENSG00000101665,1.904125631,7.417030352,4.17539543,0.000221564,0.001868626,-0.211934509
PDLIM2,ENSG00000120913,1.903945467,7.85304847,6.929202637,8.68E-08,2.09E-06,7.575889704
CD53,ENSG00000143119,1.892583656,9.374822893,3.751575336,0.00071948,0.005019199,-1.357085976
SMAGP,ENSG00000170545,1.887494205,9.467895957,4.74460385,4.40E-05,0.000472921,1.375791549
CCL19,ENSG00000172724,1.878943695,7.232585627,2.228416501,0.033190352,0.112713067,-4.953632582
IMPA2,ENSG00000141401,1.866905569,8.19224515,5.165360164,1.31E-05,0.000169639,2.570473542
PXDN,ENSG00000130508,1.865636631,9.346956401,4.282699456,0.00016374,0.001456386,0.083775821
FZD7,ENSG00000155760,1.86421223,8.099168266,1.841694409,0.075040951,0.205844465,-5.666574725
GALNT6,ENSG00000139629,1.861334308,8.129663285,3.521498738,0.001344312,0.008542194,-1.959780316
TFAP2C,ENSG00000087510,1.856817913,8.083281378,1.861772323,0.072075336,0.199375964,-5.632167491
PGK1,ENSG00000102144,1.856142423,11.0383865,5.541522225,4.45E-06,6.64E-05,3.644774428
SH3BGRL3,ENSG00000142669,1.854113667,9.471036558,6.011286391,1.16E-06,2.10E-05,4.985933343
CDH3,ENSG00000062038,1.850258088,9.259067803,3.200505342,0.003145905,0.017023291,-2.77221717
IFI30,ENSG00000216490,1.850253283,10.15233394,4.413839354,0.000112942,0.001055674,0.447724214
LRRC59,ENSG00000108829,1.848196299,10.16160745,6.698760874,1.65E-07,3.76E-06,6.931394176
ANXA3,ENSG00000138772,1.847435542,6.511098933,4.264488724,0.000172381,0.001515367,0.033451125
EPCAM,ENSG00000119888,1.843134113,10.129215,4.224564561,0.000192927,0.001655357,-0.076681969
CDK4,ENSG00000135446,1.841567966,10.47769364,6.232783634,6.16E-07,1.21E-05,5.615795354
MMP12,ENSG00000262406,1.839728291,7.422375198,2.583479775,0.014684301,0.059220757,-4.214214372
UPP1,ENSG00000183696,1.834227098,8.244541571,3.175526396,0.003356961,0.01792172,-2.833860857
ITGA5,ENSG00000161638,1.826633807,9.019988246,3.765595152,0.000692337,0.004862991,-1.319881539
FBLN1,ENSG00000077942,1.823400612,9.343249881,6.315157561,4.87E-07,9.81E-06,5.849395281
BAX,ENSG00000087088,1.821263582,8.270101727,5.575529577,4.03E-06,6.10E-05,3.741975852
TRO,ENSG00000067445,1.821036372,7.834091126,7.383556552,2.48E-08,6.91E-07,8.832106815
RPL18A,ENSG00000105640,1.820632336,12.39604631,10.28963344,1.49E-11,9.15E-10,16.28006034
HLA-DMA,ENSG00000204257,1.819854765,8.569240729,3.031264873,0.004865616,0.024174552,-3.184936736
FGG,ENSG00000171557,1.81437945,7.164146286,2.01489417,0.052599382,0.158406166,-5.360122068
SLCO2A1,ENSG00000174640,1.806265563,8.236678299,3.203966023,0.003117684,0.016908892,-2.763657605
APOC3,ENSG00000110245,1.799994835,6.622817864,1.850718014,0.073695427,0.203073417,-5.651148083
SLC35A2,ENSG00000102100,1.793849292,8.324255763,6.551272609,2.50E-07,5.41E-06,6.516627633
LGALS2,ENSG00000100079,1.791743573,7.600245417,3.136580565,0.003713198,0.019446791,-2.929479708
SLC25A6,ENSG00000169100,1.7914601,11.89546904,8.577866234,1.03E-09,4.29E-08,12.02398763
ERBB3,ENSG00000065361,1.789090513,7.968843815,4.105189561,0.000269825,0.002222026,-0.404281383
TMSB4X,ENSG00000205542,1.774668395,11.07799439,5.917205884,1.51E-06,2.63E-05,4.71777264
RAD51AP1,ENSG00000111247,1.774103517,8.254369051,4.170882852,0.000224393,0.001889148,-0.224325674
DMD,ENSG00000198947,1.77406326,8.041826355,3.120502486,0.003870531,0.020167576,-2.96877627
NANOG,ENSG00000111704,1.772940868,9.156623866,1.195743015,0.240803065,0.47103371,-6.60234995
FERMT2,ENSG00000073712,1.771475037,9.979114904,2.600645981,0.014096184,0.057218173,-4.176624375
SINHCAF,ENSG00000139146,1.770650673,11.01211019,5.488107508,5.19E-06,7.49E-05,3.492103033
RPL10,ENSG00000147403,1.770051528,12.58147782,8.70336692,7.47E-10,3.22E-08,12.3491532
TKT,ENSG00000163931,1.769180831,9.941150918,7.467690864,1.97E-08,5.68E-07,9.062403116
HLA-DQB1,ENSG00000179344,1.767840456,9.362062744,3.069223779,0.004415796,0.022413723,-3.09339722
SERPING1,ENSG00000149131,1.765312916,8.923693178,3.734070416,0.000754828,0.005235202,-1.403465733
ABR,ENSG00000159842,1.763379526,9.497206619,5.975030419,1.28E-06,2.29E-05,4.882629649
HLA-DPA1,ENSG00000168384,1.761733203,10.36414449,2.931490675,0.006264023,0.029496281,-3.422554863
LMNB2,ENSG00000176619,1.759500471,9.110583035,7.239763844,3.68E-08,9.73E-07,8.436775993
CLDN7,ENSG00000181885,1.759226473,9.032325119,4.930937048,2.58E-05,0.000301321,1.903422216
HHEX,ENSG00000152804,1.751270565,7.802369889,5.934412967,1.44E-06,2.52E-05,4.766841766
RECQL,ENSG00000004700,1.749993224,8.472347238,4.003424898,0.000358582,0.002800065,-0.68136108
TGFBI,ENSG00000120708,1.749909158,8.876782316,5.137829927,1.42E-05,0.000181003,2.491995316
PTPRC,ENSG00000081237,1.749109954,7.560755001,2.231103605,0.032993627,0.112269221,-4.948325227
NFE2L3,ENSG00000050344,1.748115291,7.805287667,3.15499093,0.003540527,0.018685897,-2.884354545
CHST2,ENSG00000175040,1.745272267,7.629043675,2.260287837,0.03092349,0.106566302,-4.890385925
LPCAT1,ENSG00000153395,1.743476625,9.285564185,5.853714738,1.82E-06,3.07E-05,4.536636417
AGL,ENSG00000162688,1.741701357,8.991546493,5.066946595,1.74E-05,0.00021432,2.290087497
HLA-DQA1,ENSG00000196735,1.738509215,7.222821045,1.979746963,0.056608825,0.166628565,-5.424049338
HLA-DQA2,ENSG00000206301,1.738509215,7.222821045,1.979746963,0.056608825,0.166628565,-5.424049338
HSD17B11,ENSG00000198189,1.735733515,8.571913008,4.674872931,5.37E-05,0.000560545,1.179118096
ACTN1,ENSG00000072110,1.735411428,10.54170957,5.225211679,1.11E-05,0.000145953,2.741186609
BAMBI,ENSG00000095739,1.735358075,9.428996738,4.413958654,0.000112904,0.001055674,0.448056477
JCHAIN,ENSG00000132465,1.735032694,6.817050687,1.7215372,0.095052886,0.244878245,-5.86614629
MFAP2,ENSG00000117122,1.730233904,8.938937868,4.515851154,8.45E-05,0.000817034,0.732549955
TDG,ENSG00000139372,1.712530363,8.132008063,4.594681249,6.75E-05,0.000675821,0.953560605
HLA-DPB1,ENSG00000215048,1.708868199,9.847886459,3.403124635,0.001845319,0.011119227,-2.263553232
KIT,ENSG00000157404,1.708378376,10.05217545,3.862693454,0.000529902,0.003879898,-1.060829328
TSPAN13,ENSG00000106537,1.705753022,9.804654894,7.765287706,8.81E-09,2.79E-07,9.870709263
CORO1A,ENSG00000102879,1.702897152,7.904110474,2.969667671,0.005689188,0.0273926,-3.332155842
NSMAF,ENSG00000035681,1.697981753,9.411498683,2.891170645,0.006930379,0.031928481,-3.51730741
MAN2B1,ENSG00000104774,1.693147091,9.405600569,5.106681017,1.55E-05,0.000194005,2.403240448
SEL1L3,ENSG00000091490,1.689330744,8.035282434,3.572446005,0.001171736,0.007597196,-1.827662158
SEPTIN11,ENSG00000138758,1.687578388,9.223939574,6.271828391,5.51E-07,1.09E-05,5.726568589
XBP1,ENSG00000100219,1.687493754,9.209972039,4.838435957,3.36E-05,0.000379933,1.641144503
HSD17B10,ENSG00000072506,1.680348194,10.50799249,6.080068649,9.51E-07,1.79E-05,5.181768852
HCLS1,ENSG00000180353,1.675111572,8.222965056,3.020043393,0.005006703,0.024781016,-3.211879717
RESF1,ENSG00000174718,1.672905438,9.205225927,3.339619807,0.002183845,0.012689505,-2.42457536
H1-2,ENSG00000187837,1.672308795,9.230928381,2.418825193,0.021590431,0.080690998,-4.566396775
GPX2,ENSG00000176153,1.671729607,9.222866681,3.397977822,0.001870758,0.011242998,-2.276655419
EMG1,ENSG00000126749,1.667982305,10.07906503,3.756986161,0.000708884,0.00496219,-1.342733386
CLIC1,ENSG00000206394,1.667600445,10.21237002,5.475354896,5.38E-06,7.69E-05,3.455654713
MAFB,ENSG00000204103,1.657475379,8.444647182,5.063640295,1.76E-05,0.000215997,2.280675552
POU5F1B,ENSG00000212993,1.657006257,9.428961682,2.256064774,0.03121563,0.107418051,-4.898803467
H1-10,ENSG00000184897,1.652745025,9.5514514,6.930558733,8.65E-08,2.09E-06,7.579668684
BNIP3,ENSG00000176171,1.649643956,10.26183725,4.590709314,6.83E-05,0.000681945,0.942407122
RAP2B,ENSG00000181467,1.645035695,9.147952283,5.897552706,1.60E-06,2.76E-05,4.661716353
MYH10,ENSG00000133026,1.642767677,10.48725657,4.521047246,8.33E-05,0.000805574,0.747094523
SALL1,ENSG00000103449,1.63809608,6.54868464,1.664067516,0.106109169,0.265578739,-5.957672211
ID1,ENSG00000125968,1.635761425,9.413358787,2.533004966,0.016547376,0.065282861,-4.32380495
RGS10,ENSG00000148908,1.632583143,7.813553459,2.996182037,0.005319698,0.025891969,-3.268989586
TPD52-MRPS28,ENSG00000076554,1.63128383,8.77853251,3.546616888,0.001256362,0.008051166,-1.894743171
TPD52,ENSG00000076554,1.63128383,8.77853251,3.546616888,0.001256362,0.008051166,-1.894743171
IER2,ENSG00000160888,1.629430825,10.78126865,4.953863525,2.41E-05,0.000285377,1.968521503
SKP2,ENSG00000145604,1.626485214,8.630561483,5.812543834,2.04E-06,3.39E-05,4.419118307
TIMELESS,ENSG00000111602,1.625309828,9.133698393,4.829589984,3.45E-05,0.000388165,1.61609674
LITAF,ENSG00000189067,1.621078012,8.9484072,3.45228345,0.001618556,0.009948369,-2.137959652
CRABP2,ENSG00000143320,1.620293138,7.98998947,2.612210228,0.013712355,0.05593064,-4.151211301
PLTP,ENSG00000100979,1.619677268,9.719708265,4.399670178,0.000117577,0.001095421,0.408276181
MREG,ENSG00000118242,1.616987419,7.041731817,3.518266917,0.001356052,0.008597727,-1.968133989
MAN1A1,ENSG00000111885,1.61588702,8.286792774,2.877468158,0.007171645,0.032841961,-3.549336895
FSTL1,ENSG00000163430,1.613592492,10.7711979,3.678604856,0.000878344,0.005945109,-1.549874737
HSPE1,ENSG00000115541,1.61215123,9.587947711,4.221554325,0.00019457,0.001668458,-0.084974741
NRCAM,ENSG00000091129,1.611385973,7.466665096,3.09290109,0.004155525,0.021388117,-3.035990495
TNNT1,ENSG00000105048,1.608198879,8.152983961,4.171201734,0.000224192,0.001888564,-0.223450173
EIF4EBP1,ENSG00000187840,1.60812302,9.018719562,6.903904432,9.32E-08,2.23E-06,7.505361738
KCNK12,ENSG00000184261,1.606874279,6.727211988,3.018754346,0.005023156,0.024822218,-3.214971257
LIPA,ENSG00000107798,1.605447407,9.582289196,3.7184751,0.000787738,0.005439758,-1.444716702
PROM1,ENSG00000007062,1.605328106,9.057233244,3.230700945,0.002907675,0.015908389,-2.697376318
AGMAT,ENSG00000116771,1.603106639,6.859421809,2.236096156,0.032630897,0.11138,-4.938452051
MX1,ENSG00000157601,1.603104778,8.782771768,1.67976832,0.102987173,0.25948711,-5.932923916
CASK,ENSG00000147044,1.598005314,8.872713533,4.411886766,0.00011357,0.00106085,0.442286354
EIF2S3,ENSG00000130741,1.595583257,8.499323125,3.740152133,0.00074236,0.005156215,-1.387361324
PTPN12,ENSG00000127947,1.593006751,9.432987166,3.791344964,0.000645058,0.004593957,-1.251415502
FLNA,ENSG00000196924,1.592890993,10.34188308,7.90422744,6.07E-09,2.04E-07,10.24459883
CXCL9,ENSG00000138755,1.588849342,8.728410145,1.763730909,0.087565631,0.231256932,-5.797317407
LEFTY1,ENSG00000243709,1.587813879,8.174834681,2.408424881,0.022113434,0.082495025,-4.588117385
EFNA4,ENSG00000243364,1.585271956,6.821693149,5.865873704,1.75E-06,2.99E-05,4.571334328
ZNF124,ENSG00000196418,1.583647042,7.39973995,5.6911745,2.89E-06,4.56E-05,4.072467196
SHMT2,ENSG00000182199,1.581252393,10.28732796,7.924209404,5.76E-09,1.95E-07,10.29818291
TFPI,ENSG00000003436,1.574044646,6.478393002,2.769859378,0.009359828,0.040690829,-3.797756551
PYCARD,ENSG00000103490,1.561333159,7.214882846,2.846406581,0.007748125,0.034868995,-3.621615916
TNFSF10,ENSG00000121858,1.560113586,6.947604407,2.772818613,0.009292088,0.040420864,-3.791000509
ID2,ENSG00000115738,1.559736448,8.943309375,3.268683676,0.002632445,0.014717247,-2.602741834
ARPC1B,ENSG00000130429,1.559626972,9.860929874,3.472991382,0.001531298,0.009490471,-2.084813874
EIF2AK2,ENSG00000055332,1.559138938,8.957534206,3.163571689,0.003462689,0.018376617,-2.863276098
PTMS,ENSG00000159335,1.558676742,7.962181192,6.53282275,2.63E-07,5.67E-06,6.464627838
