,ENSEMBL,logFC,AveExpr,t,P.Value,adj.P.Val,B
CYP4F8,ENSG00000186526,-0.043183876,4.619191238,-0.256050385,0.799592104,0.932629651,-7.286938372
PWWP2A,ENSG00000170234,-0.043205295,5.194545321,-0.241795326,0.810520464,0.938121788,-7.290577495
OGDH,ENSG00000105953,-0.043296859,8.784419153,-0.140450005,0.889206996,0.964238463,-7.310456684
CAMKMT,ENSG00000143919,-0.043390228,6.834359369,-0.1580531,0.875433161,0.960441153,-7.307758793
IFNA10,ENSG00000186803,-0.043414271,5.529264851,-0.234473304,0.816148994,0.941290964,-7.292365998
EPHA3,ENSG00000044524,-0.043458333,5.573711518,-0.192339851,0.848722062,0.954026507,-7.301592167
CPA2,ENSG00000158516,-0.043541148,7.012112388,-0.182043763,0.856725633,0.954801789,-7.303570494
BMP3,ENSG00000152785,-0.043584981,6.018056476,-0.229585585,0.81991181,0.943110604,-7.293529391
VARS1,ENSG00000096171,-0.043873137,8.28726559,-0.14407164,0.886370173,0.962083432,-7.309927586
CRELD1,ENSG00000163703,-0.043886803,7.299052123,-0.135952573,0.892731899,0.965649233,-7.311095004
NCAPH2,ENSG00000025770,-0.044017745,7.614099508,-0.166924723,0.868506099,0.957632363,-7.306278709
DSC1,ENSG00000134765,-0.044036035,4.838147096,-0.296619674,0.768721922,0.916643249,-7.275446508
LAMC2,ENSG00000058085,-0.044218084,7.60054339,-0.149672727,0.881985865,0.960478452,-7.309082815
CPN2,ENSG00000178772,-0.04422208,5.699905979,-0.251253674,0.803264937,0.934455971,-7.288186078
RNF5,ENSG00000183574,-0.044386058,6.524149773,-0.191975934,0.849004676,0.954026507,-7.301663943
KCNA4,ENSG00000182255,-0.04444396,5.642134456,-0.239468749,0.812307836,0.939583386,-7.291151732
MRPL35,ENSG00000132313,-0.044452396,8.322545367,-0.17482642,0.862345249,0.955353724,-7.304892524
MFSD12,ENSG00000161091,-0.044465466,7.08407834,-0.243548697,0.809174138,0.937418206,-7.29014108
IL19,ENSG00000142224,-0.044540478,7.511186161,-0.167661944,0.867930938,0.957396644,-7.306152085
ZNF506,ENSG00000081665,-0.044542588,5.549807108,-0.266531425,0.791583058,0.928503081,-7.284130328
SMR3A,ENSG00000109208,-0.044628254,5.189291298,-0.27170383,0.787639011,0.926455376,-7.282703235
SNPH,ENSG00000101298,-0.044670138,6.669040721,-0.217068172,0.829567991,0.947265744,-7.296397445
PPP4C,ENSG00000149923,-0.044679505,10.34895766,-0.161536224,0.872712274,0.960157723,-7.30718731
TNMD,ENSG00000000005,-0.044765825,5.550224264,-0.186183749,0.853505544,0.954801789,-7.302788074
PRUNE2,ENSG00000106772,-0.044793344,7.623459655,-0.088082842,0.930373595,0.975438885,-7.316602993
KRT37,ENSG00000108417,-0.044925723,5.877099821,-0.221389174,0.826231549,0.946028864,-7.295425505
SLC39A9,ENSG00000029364,-0.045011982,6.518356523,-0.191539419,0.849343696,0.954026507,-7.301749857
HSD3B1,ENSG00000203857,-0.045129462,4.906679959,-0.231154238,0.818703702,0.943110604,-7.293158676
PIGZ,ENSG00000119227,-0.045168217,7.590259048,-0.177980361,0.859888589,0.954801789,-7.304321369
ARTN,ENSG00000117407,-0.045176596,8.419598313,-0.16101096,0.873122491,0.960217794,-7.307274288
CYP2B6,ENSG00000197408,-0.04518267,6.464081342,-0.214802774,0.8313185,0.948329177,-7.296899378
ACKR2,ENSG00000144648,-0.045196348,6.542363926,-0.239754599,0.812088179,0.939521527,-7.291081478
IFNA1,ENSG00000197919,-0.045208508,4.956180664,-0.247980828,0.805773571,0.935025897,-7.289023914
ART1,ENSG00000129744,-0.045327972,7.169282972,-0.165099357,0.86993052,0.958315422,-7.306589833
GPR25,ENSG00000170128,-0.045456905,4.815433488,-0.230003268,0.819590084,0.943110604,-7.293430927
CIDEA,ENSG00000176194,-0.045665243,7.067441418,-0.198481664,0.843955497,0.953240358,-7.300360367
CFAP68,ENSG00000137720,-0.045684713,4.422070046,-0.247132156,0.806424422,0.93518529,-7.289239384
PRR3,ENSG00000204576,-0.045707996,7.777339336,-0.205011064,0.8388947,0.951488276,-7.299008484
ZNF638,ENSG00000075292,-0.045773242,10.75880023,-0.13539117,0.893172062,0.965800395,-7.311173227
TLX1,ENSG00000107807,-0.045881627,5.612768078,-0.301021012,0.765394838,0.915700312,-7.274098857
NR2F1,ENSG00000175745,-0.046007156,6.618321983,-0.277365903,0.783328125,0.924462359,-7.281109744
ARHGEF28,ENSG00000214944,-0.04602998,7.838463169,-0.250732578,0.803664215,0.934716278,-7.288320209
EXOSC1,ENSG00000171311,-0.046191485,4.471344742,-0.253778894,0.801330806,0.933669631,-7.287532154
INSL5,ENSG00000172410,-0.046235259,5.408408021,-0.230048371,0.819555345,0.943110604,-7.293420284
