"gene","HR","95% CI","p.value"
"ENSG00000223651",1.18e+10,"(1.4-9.6e+19)",0.0464
"ENSG00000274358",3.45,"(1.5-7.7)",0.00259
"ENSG00000183145",1.4,"(1-1.9)",0.0294
"ENSG00000185662",15.9,"(2.7-92)",0.00206
"ENSG00000251391",75.4,"(1.2-4700)",0.0409
"ENSG00000242979",3.37e-05,"(7.3e-09-0.16)",0.0169
"ENSG00000214278",29200,"(77-1.1e+07)",0.000687
"ENSG00000221356",6.7,"(1.1-42)",0.0427
"ENSG00000238367",166000,"(17-1.6e+09)",0.0102
"ENSG00000226903",33.9,"(1.9-620)",0.0174
"ENSG00000254728",1.07e+144,"(1.2e+62-9.9e+225)",0.000573
"ENSG00000135973",0.218,"(0.053-0.9)",0.0347
"ENSG00000224826",5.34e+19,"(1.9e+09-1.5e+30)",0.000212
"ENSG00000250062",833,"(6.7-1e+05)",0.00623
"ENSG00000279827",9.46,"(1.8-50)",0.00804
"ENSG00000188909",50.2,"(2.4-1000)",0.0115
"ENSG00000164932",1.32,"(1-1.7)",0.0288
"ENSG00000149575",2.38,"(1.2-4.9)",0.0176
"ENSG00000278239",157,"(2.4-10000)",0.0182
"ENSG00000202449",44.1,"(1.4-1400)",0.033
"ENSG00000205078",1.89,"(1.1-3.3)",0.0295
"ENSG00000248371",28.3,"(1.3-600)",0.0319
"ENSG00000261090",2.68e+08,"(26-2.8e+15)",0.0186
"ENSG00000165805",104,"(4.4-2500)",0.00413
"ENSG00000264069",7.39,"(1.3-43)",0.0254
"ENSG00000125815",43.3,"(2.1-910)",0.0153
"ENSG00000169189",0.396,"(0.18-0.89)",0.0254
"ENSG00000069206",645000,"(35-1.2e+10)",0.00761
"ENSG00000228231",16200000,"(8.6-3.1e+13)",0.0243
"ENSG00000224609",7790,"(31-1900000)",0.00146
"ENSG00000258068",469,"(2.1-1e+05)",0.0255
"ENSG00000131059",9.4,"(2.1-42)",0.0035
"ENSG00000216621",1020000,"(3.6-2.9e+11)",0.0308
"ENSG00000027644",3.22,"(1.2-9)",0.0254
"ENSG00000214366",23900000,"(1.3-4.4e+14)",0.0466
"ENSG00000165076",44.8,"(2.7-730)",0.00766
"ENSG00000281548",553000,"(300-1e+09)",0.000559
"ENSG00000269316",5.01e-08,"(2.9e-15-0.86)",0.048
"ENSG00000225333",20800,"(14-3e+07)",0.00736
"ENSG00000110811",1.31,"(1-1.7)",0.0277
"ENSG00000240545",273000,"(3.6-2.1e+10)",0.0289
"ENSG00000279842",1.13e+14,"(1.6-8e+27)",0.0467
"ENSG00000236666",4.25e+42,"(1400000-1.3e+79)",0.022
"ENSG00000202023",91.6,"(1.4-5800)",0.033
"ENSG00000265480",15.6,"(2.1-120)",0.00763
"ENSG00000225766",4.94,"(1-23)",0.0444
"ENSG00000236658",7.57,"(2-29)",0.00313
"ENSG00000240533",599,"(2.9-120000)",0.0185
"ENSG00000226825",52.3,"(3.1-870)",0.00587
"ENSG00000227375",158,"(4.5-5500)",0.00532
"ENSG00000221165",626,"(5-79000)",0.00905
"ENSG00000266743",2.41,"(1.1-5.4)",0.0322
"ENSG00000281778",7.09e+28,"(3200-1.6e+54)",0.0257
"ENSG00000255496",36300,"(1.2-1.1e+09)",0.0464
"ENSG00000225929",1.85,"(1-3.3)",0.0388
"ENSG00000197261",2.13,"(1.1-4.3)",0.0353
"ENSG00000255568",3.62,"(1.1-12)",0.0372
"ENSG00000269796",966,"(19-48000)",0.00056
"ENSG00000269981",0.732,"(0.57-0.94)",0.0128
"ENSG00000231898",47200,"(15-1.5e+08)",0.00897
"ENSG00000253632",32.9,"(2.8-390)",0.00547
"ENSG00000251048",3.98e+11,"(16000-1e+19)",0.00212
"ENSG00000258426",739000,"(1100-5e+08)",4.91e-05
"ENSG00000243838",18900000,"(130-2.8e+12)",0.00581
"ENSG00000271787",7.17,"(1.3-38)",0.0209
"ENSG00000137834",1.65,"(1-2.7)",0.0428
"ENSG00000221410",9680,"(37-2500000)",0.00125
"ENSG00000271171",27200,"(310-2400000)",7.71e-06
"ENSG00000225811",1.06e+08,"(500-2.3e+13)",0.00316
"ENSG00000186980",85500000,"(2400-3e+12)",0.000627
"ENSG00000258648",112,"(1.3-9600)",0.0376
"ENSG00000254173",1.83e+09,"(2400-1.4e+15)",0.00205
"ENSG00000265213",318,"(2.9-35000)",0.0165
"ENSG00000199677",253,"(1.1-60000)",0.0473
"ENSG00000113389",1.61,"(1.1-2.4)",0.0274
"ENSG00000162456",158,"(1.1-22000)",0.0451
"ENSG00000254938",3010,"(10-9e+05)",0.00592
"ENSG00000252812",9.37e+08,"(1.4-6.5e+17)",0.0467
"ENSG00000223180",0.0645,"(0.0045-0.92)",0.0435
"ENSG00000105852",0.587,"(0.35-0.98)",0.04
"ENSG00000249481",2470,"(16-370000)",0.00229
"ENSG00000225883",2.5e+07,"(170-3.8e+12)",0.00508
"ENSG00000260494",90.9,"(1.6-5200)",0.0287
"ENSG00000240021",16.7,"(2.6-110)",0.00275
"ENSG00000267529",14700000,"(480-4.5e+11)",0.00174
"ENSG00000273372",539000,"(24-1.2e+10)",0.00976
"ENSG00000281473",4.03e+20,"(4.1e+11-3.9e+29)",7.03e-06
"ENSG00000238008",80.5,"(3.4-1900)",0.00642
"ENSG00000177112",3.24,"(1.1-9.1)",0.0261
"ENSG00000224904",1.27e-58,"(5.2e-110-3.1e-07)",0.0272
"ENSG00000224351",2.52e+13,"(180000-3.5e+21)",0.00125
"ENSG00000223318",1.54,"(1.1-2.3)",0.0269
"ENSG00000090971",2.22,"(1.1-4.5)",0.0269
"ENSG00000280050",7.06,"(1.4-36)",0.0178
"ENSG00000151655",1.24,"(1-1.5)",0.0492
"ENSG00000215231",2.7e+13,"(160000-4.4e+21)",0.00136
"ENSG00000233605",1490,"(11-2e+05)",0.00353
"ENSG00000228735",199,"(5.6-7000)",0.00361
"ENSG00000250261",12.4,"(1.5-110)",0.0214
"ENSG00000167157",1.79,"(1.1-2.8)",0.0121
"ENSG00000230572",846000,"(3.4-2.1e+11)",0.0312
"ENSG00000259060",151000,"(9.5-2.4e+09)",0.0157
"ENSG00000167470",2.58,"(1-6.3)",0.0392
"ENSG00000157093",4.77,"(1.5-16)",0.00982
"ENSG00000279164",5920000,"(3.5-1e+13)",0.0331
"ENSG00000230157",3.98,"(1.9-8.4)",0.000313
"ENSG00000213126",1090,"(2.4-490000)",0.025
"ENSG00000227744",28,"(1.2-680)",0.0406
"ENSG00000235479",8.39e+33,"(1.8e+14-4e+53)",0.000729
"ENSG00000153498",6.63,"(1.9-23)",0.0026
"ENSG00000244650",1.3e+08,"(6-2.8e+15)",0.0302
"ENSG00000186508",2e+15,"(3.1-1.3e+30)",0.0429
"ENSG00000273811",0.352,"(0.15-0.85)",0.0201
"ENSG00000249035",221,"(2-24000)",0.024
"ENSG00000280155",1.8e+08,"(6500-5e+12)",0.000273
"ENSG00000264699",1220,"(11-140000)",0.00325
"ENSG00000273175",7.03,"(1.3-38)",0.0234
"ENSG00000266962",2.42,"(1-5.7)",0.0448
"ENSG00000224718",4.82e+27,"(1.7e+13-1.4e+42)",0.000176
"ENSG00000137473",2.2,"(1-4.7)",0.0384
"ENSG00000212532",6.44,"(1.1-37)",0.0355
"ENSG00000267112",22400,"(1.4-3.7e+08)",0.043
"ENSG00000197651",6.34,"(1.7-24)",0.00659
"ENSG00000224504",6.02e+29,"(2.7e+13-1.3e+46)",0.000356
"ENSG00000205044",165000,"(81-3.4e+08)",0.00199
"ENSG00000138483",3.44,"(1.3-8.9)",0.0107
"ENSG00000233143",94.5,"(1.5-6000)",0.0318
"ENSG00000254199",1.78e+09,"(910-3.5e+15)",0.00394
"ENSG00000264039",519,"(1.1-250000)",0.0467
"ENSG00000251142",3,"(1.2-7.4)",0.0171
"ENSG00000252479",23.1,"(1.6-330)",0.0214
"ENSG00000177938",2.6,"(1.3-5.1)",0.00471
"ENSG00000260628",114,"(3.2-4100)",0.00933
"ENSG00000253825",149,"(1.2-19000)",0.042
"ENSG00000233689",18800,"(6-5.9e+07)",0.0166
"ENSG00000253992",0.000442,"(1.3e-06-0.15)",0.00957
"ENSG00000170935",132,"(4.3-4100)",0.00525
"ENSG00000272135",92.1,"(3.3-2600)",0.00768
"ENSG00000250422",5.49e+16,"(320-9.3e+30)",0.0211
"ENSG00000275846",15100,"(13-1.8e+07)",0.0076
"ENSG00000240103",2.91,"(1.1-7.5)",0.0267
"ENSG00000271284",429000,"(44-4.2e+09)",0.00567
"ENSG00000265378",1.23e+11,"(1.5-1e+22)",0.0467
"ENSG00000267354",1.7e+07,"(470-6.1e+11)",0.00187
"ENSG00000223920",10300,"(94-1100000)",0.000113
"ENSG00000279070",646,"(1.3-330000)",0.0418
"ENSG00000241745",370,"(1.1-120000)",0.046
"ENSG00000145863",7.04e+12,"(530000-9.3e+19)",0.000407
"ENSG00000243062",49.9,"(2.7-930)",0.00878
"ENSG00000213972",31500,"(1.8-5.7e+08)",0.0383
"ENSG00000256473",10100,"(69-1500000)",0.000285
"ENSG00000237312",4860,"(3.5-6700000)",0.0215
"ENSG00000164500",2380,"(16-350000)",0.00226
"ENSG00000206605",45.9,"(1.4-1500)",0.0301
"ENSG00000229105",43000,"(25-7.5e+07)",0.00509
"ENSG00000264391",9.46,"(2.2-41)",0.00275
"ENSG00000261190",2.26e+08,"(880-5.8e+13)",0.00247
"ENSG00000254707",3270,"(41-260000)",0.000299
"ENSG00000109089",1.82,"(1-3.3)",0.0464
"ENSG00000242671",8320000,"(2.7-2.6e+13)",0.0368
"ENSG00000256651",208,"(3.6-12000)",0.00967
"ENSG00000200754",28.7,"(1.4-600)",0.0304
"ENSG00000242573",1.44e+23,"(410-5.1e+43)",0.0272
"ENSG00000248546",196,"(1.8-21000)",0.0275
"ENSG00000228504",6.76,"(2-23)",0.00225
"ENSG00000183092",2.37,"(1-5.6)",0.0498
"ENSG00000226502",1.46e+32,"(2.9e+16-7.3e+47)",5.96e-05
"ENSG00000251899",36.8,"(1.1-1300)",0.0461
"ENSG00000228139",6.72,"(1.6-29)",0.0106
"ENSG00000280086",9.45e+29,"(2.7e+10-3.3e+49)",0.00264
"ENSG00000177673",3.59,"(1.7-7.7)",0.00102
"ENSG00000228431",3.78,"(1-14)",0.0469
"ENSG00000228664",2860,"(32-250000)",0.000501
"ENSG00000204688",4860000,"(300-8e+10)",0.00187
"ENSG00000215268",2.35e+23,"(4200-1.3e+43)",0.0203
"ENSG00000237716",96.6,"(4.2-2200)",0.00439
"ENSG00000273327",8370000,"(3.6-2e+13)",0.0332
"ENSG00000065361",1.47,"(1-2.2)",0.0487
"ENSG00000227021",2820,"(5.4-1500000)",0.0128
"ENSG00000250560",86100000,"(1800-4.2e+12)",0.000913
"ENSG00000115548",0.402,"(0.18-0.89)",0.0236
"ENSG00000168255",0.0575,"(0.0047-0.7)",0.0249
"ENSG00000232952",1.41e-11,"(1.1e-20-0.018)",0.0195
"ENSG00000241963",5.3e+07,"(10000-2.8e+11)",4.82e-05
"ENSG00000257568",5340,"(9.7-3e+06)",0.00772
"ENSG00000257844",2.32e+13,"(2.1-2.6e+26)",0.0446
"ENSG00000249488",2.15e+10,"(15000-3.1e+16)",0.00102
"ENSG00000236497",9370,"(11-8400000)",0.00832
"ENSG00000224655",487000,"(210-1.1e+09)",0.000906
"ENSG00000138028",1.79,"(1-3.1)",0.041
"ENSG00000147573",2.69,"(1.1-6.4)",0.024
"ENSG00000180663",2.11e+09,"(810-5.5e+15)",0.00441
"ENSG00000229522",1210,"(7.4-2e+05)",0.00641
"ENSG00000273872",0.0434,"(0.002-0.94)",0.0455
"ENSG00000182351",31.9,"(2-520)",0.015
"ENSG00000166166",2.46,"(1-6)",0.0475
"ENSG00000223421",9.26e+37,"(7.8e+11-1.1e+64)",0.00432
"ENSG00000241227",756000,"(3.3-1.7e+11)",0.0315
"ENSG00000238107",41.2,"(1.1-1600)",0.0463
"ENSG00000162444",1.53,"(1.1-2.2)",0.0166
"ENSG00000232286",3e+05,"(31-2.9e+09)",0.00715
"ENSG00000256769",14700000,"(560-3.9e+11)",0.00147
"ENSG00000259361",494,"(7.2-34000)",0.004
"ENSG00000120160",15.4,"(2.5-94)",0.00302
"ENSG00000178395",7.11,"(1.8-28)",0.00481
"ENSG00000150076",9.67,"(1.9-49)",0.00633
"ENSG00000254823",14.9,"(2.4-92)",0.0037
"ENSG00000224549",126,"(2.1-7700)",0.021
"ENSG00000267743",458,"(5.1-41000)",0.00771
"ENSG00000276861",2150,"(9.9-460000)",0.00516
"ENSG00000227117",3.46,"(1.3-9.6)",0.0165
"ENSG00000236387",7.76e+09,"(8200-7.3e+15)",0.00118
"ENSG00000273172",84,"(1.3-5500)",0.0377
"ENSG00000258805",8.2e+12,"(240-2.8e+23)",0.0162
"ENSG00000145626",1.88,"(1.1-3.2)",0.0189
"ENSG00000267489",20400,"(14-2.9e+07)",0.00733
"ENSG00000266145",0.281,"(0.084-0.94)",0.0401
"ENSG00000241469",470,"(6.9-32000)",0.00423
"ENSG00000252777",22,"(1.9-250)",0.0135
"ENSG00000269194",4.62,"(1.4-15)",0.0121
"ENSG00000225378",327,"(3.5-31000)",0.0125
"ENSG00000254321",231,"(4.7-11000)",0.00613
"ENSG00000232031",9230,"(26-3200000)",0.00226
"ENSG00000253190",95.6,"(5.9-1600)",0.00138
"ENSG00000229017",430,"(1.7-110000)",0.0321
"ENSG00000236296",3.91,"(1.1-14)",0.0355
"ENSG00000234871",20.4,"(1.6-260)",0.0208
"ENSG00000224743",1810,"(2.4-1300000)",0.0261
"ENSG00000224771",2630,"(12-590000)",0.00437
"ENSG00000230891",42.2,"(1.5-1200)",0.0267
"ENSG00000255134",3.07e+10,"(380-2.5e+18)",0.00934
"ENSG00000223653",1910,"(6.8-540000)",0.00866
"ENSG00000226487",3.66e+10,"(1.3-9.9e+20)",0.0472
"ENSG00000279881",7.44,"(1.2-44)",0.0277
"ENSG00000223570",72.7,"(3.7-1400)",0.0046
"ENSG00000261610",14200,"(2.8-7.2e+07)",0.0279
"ENSG00000223275",517,"(1.4-2e+05)",0.0394
"ENSG00000248682",606,"(2.1-170000)",0.0265
"ENSG00000199927",3560000,"(210-6.2e+10)",0.00246
"ENSG00000274766",2440,"(49-120000)",8.78e-05
"ENSG00000226676",12700,"(1-1.6e+08)",0.0492
"ENSG00000270225",1.56,"(1.1-2.3)",0.0237
"ENSG00000260840",1.66e+11,"(240000-1.2e+17)",0.000169
"ENSG00000228918",4.32e+09,"(6.9-2.7e+18)",0.0318
"ENSG00000235724",921,"(3.3-250000)",0.0173
"ENSG00000229042",4.7e+10,"(200-1.1e+19)",0.0124
"ENSG00000239143",85.2,"(1.2-6100)",0.0418
"ENSG00000238256",1820,"(5.7-580000)",0.0107
"ENSG00000051128",1.69,"(1-2.8)",0.0389
"ENSG00000277483",4060000,"(5.6-2.9e+12)",0.027
"ENSG00000217327",597,"(5.7-62000)",0.007
"ENSG00000141434",1100,"(4.3-280000)",0.0133
"ENSG00000256906",11100,"(30-4100000)",0.002
"ENSG00000232540",8690,"(1.9-4.1e+07)",0.0355
"ENSG00000276768",7.18,"(1.1-49)",0.0433
"ENSG00000226023",1.13e+24,"(480-2.6e+45)",0.0274
"ENSG00000268318",7.04,"(1.2-42)",0.0314
"ENSG00000185264",4.11,"(1.7-10)",0.00227
"ENSG00000213717",379,"(1.3-110000)",0.0402
"ENSG00000260305",2080,"(3.4-1300000)",0.0198
"ENSG00000249163",57.9,"(3.4-980)",0.00486
"ENSG00000229606",80.5,"(4.2-1500)",0.00361
"ENSG00000274276",1.82,"(1-3.2)",0.0347
"ENSG00000231031",4.57,"(1.1-19)",0.0386
"ENSG00000231178",615,"(5.4-70000)",0.00795
"ENSG00000232692",117,"(1.4-9900)",0.0356
"ENSG00000237524",5.37,"(1.8-16)",0.00302
"ENSG00000233277",446,"(6.2-32000)",0.00524
"ENSG00000234435",3110,"(39-250000)",0.000318
"ENSG00000227363",15.8,"(1.2-210)",0.0369
"ENSG00000231756",447,"(3.7-54000)",0.0125
"ENSG00000233891",90900,"(46-1.8e+08)",0.00321
"ENSG00000255323",10100,"(5.7-1.8e+07)",0.0157
"ENSG00000264434",6600000,"(200-2.2e+11)",0.00309
"ENSG00000165623",1.79,"(1.1-3)",0.0291
"ENSG00000180638",4.79,"(1.1-22)",0.0429
"ENSG00000233055",86.6,"(1.5-5000)",0.0311
"ENSG00000231576",877000,"(7.5-1e+11)",0.0215
"ENSG00000231989",3.22,"(1.3-7.9)",0.0111
"ENSG00000184702",1.53,"(1-2.3)",0.0463
"ENSG00000196932",2.84,"(1.2-6.6)",0.0159
"ENSG00000204187",12700,"(38-4200000)",0.00146
"ENSG00000204006",19.9,"(2.5-160)",0.00474
"ENSG00000232021",55.1,"(4.8-630)",0.00124
"ENSG00000228948",367000,"(8.3-1.6e+10)",0.0189
"ENSG00000176256",2.33,"(1.2-4.4)",0.00784
"ENSG00000166069",18,"(2.8-110)",0.00218
"ENSG00000189332",66.3,"(4.5-970)",0.00222
"ENSG00000239185",21.5,"(1.6-300)",0.022
"ENSG00000134007",889,"(5.1-160000)",0.01
"ENSG00000187758",29.8,"(1-850)",0.047
"ENSG00000234152",604,"(18-21000)",0.000369
