"gene","HR","95% CI","p.value"
"ENSG00000253104",5.71e+13,"(1.5e+08-2.1e+19)",1.31e-06
"ENSG00000279839",3.15e+19,"(1e+06-9.9e+32)",0.00464
"ENSG00000225640",102,"(4.7-2200)",0.00325
"ENSG00000269096",33.2,"(1.6-700)",0.0241
"ENSG00000277135",2.72,"(1-7.3)",0.0481
"ENSG00000174325",9.28,"(1-83)",0.0458
"ENSG00000172538",3820,"(26-570000)",0.00124
"ENSG00000236024",25.4,"(2.5-260)",0.00633
"ENSG00000230292",1440,"(3.1-670000)",0.0204
"ENSG00000222044",5.8e+08,"(4500-7.6e+13)",0.000786
"ENSG00000126062",2.21,"(1-4.7)",0.0415
"ENSG00000229109",7.27,"(1-52)",0.0481
"ENSG00000213946",23300,"(1.6-3.4e+08)",0.04
"ENSG00000234650",632,"(5.2-76000)",0.00839
"ENSG00000123447",853,"(11-67000)",0.00244
"ENSG00000173838",3.07,"(1.1-8.8)",0.0366
"ENSG00000266217",3.06,"(1.1-8.7)",0.0357
"ENSG00000233064",48,"(2.6-880)",0.0091
"ENSG00000269431",46700,"(17-1.3e+08)",0.00787
"ENSG00000235535",454,"(1.6-130000)",0.0331
"ENSG00000281769",214,"(8.4-5400)",0.00116
"ENSG00000234551",6960,"(39-1200000)",0.000817
"ENSG00000089723",2.45,"(1-5.8)",0.0395
"ENSG00000259196",1.87e-06,"(5.1e-11-0.068)",0.0138
"ENSG00000180913",2.39e+12,"(13000-4.5e+20)",0.00337
"ENSG00000214369",25.5,"(1.3-490)",0.0313
"ENSG00000273077",16.9,"(1.4-200)",0.0242
"ENSG00000168594",27.3,"(3.1-240)",0.00279
"ENSG00000204684",3020000,"(180-5.1e+10)",0.00268
"ENSG00000249406",2.41,"(1-5.6)",0.0389
"ENSG00000232812",1700000,"(620-4.6e+09)",0.000379
"ENSG00000242001",117,"(2.5-5500)",0.0153
"ENSG00000200874",12.6,"(1.2-140)",0.038
"ENSG00000101901",0.323,"(0.11-0.96)",0.0427
"ENSG00000136099",1.57,"(1-2.5)",0.0455
"ENSG00000255009",170000,"(42-6.9e+08)",0.00449
"ENSG00000233029",528,"(1.5-180000)",0.0358
"ENSG00000269891",424,"(4.8-37000)",0.00804
"ENSG00000275256",1870,"(3-1200000)",0.0216
"ENSG00000259144",7370000,"(1200-4.7e+10)",0.000399
"ENSG00000102076",1.42e+16,"(1300000-1.5e+26)",0.00161
"ENSG00000270124",2.94,"(1-8.5)",0.0458
"ENSG00000117600",2.43,"(1-5.8)",0.044
"ENSG00000242945",7.48e+14,"(5.3-1.1e+29)",0.0394
"ENSG00000230474",33800,"(8.4-1.4e+08)",0.0138
"ENSG00000175809",86500,"(49-1.5e+08)",0.00291
"ENSG00000275239",6.93e+09,"(36-1.3e+18)",0.0199
"ENSG00000260133",347000,"(8.1-1.5e+10)",0.0191
"ENSG00000280397",2.58e+34,"(9.3e+07-7.2e+60)",0.0108
"ENSG00000260681",3.02e+09,"(23-3.9e+17)",0.022
"ENSG00000253474",2.28e+08,"(5.4-9.7e+15)",0.0318
"ENSG00000227199",1.95,"(1-3.7)",0.0457
"ENSG00000259764",623,"(24-16000)",0.000106
"ENSG00000279892",15.1,"(1-220)",0.0467
"ENSG00000253857",110000,"(6.8-1.8e+09)",0.019
"ENSG00000224700",2780,"(25-320000)",0.00101
"ENSG00000234159",1150,"(2.4-560000)",0.0255
"ENSG00000276691",0.0398,"(0.0026-0.6)",0.0198
"ENSG00000235631",4.28,"(1.8-10)",0.00133
"ENSG00000198995",134,"(1.5-12000)",0.0336
"ENSG00000124915",407000,"(3.1-5.3e+10)",0.0317
"ENSG00000157131",4.97,"(1.1-22)",0.0356
"ENSG00000268480",17300000,"(5-5.9e+13)",0.03
"ENSG00000237299",4.97e+11,"(260-9.6e+20)",0.0135
"ENSG00000168397",0.283,"(0.09-0.89)",0.0304
"ENSG00000236403",93.5,"(3.1-2800)",0.00884
"ENSG00000212205",3.76,"(1.1-12)",0.0297
"ENSG00000231883",9970,"(13-7400000)",0.00631
"ENSG00000279078",5230000,"(6.8-4e+12)",0.0253
"ENSG00000274874",324,"(12-9100)",0.00067
"ENSG00000261291",148,"(1.5-15000)",0.033
"ENSG00000118271",1.15,"(1-1.3)",0.0317
"ENSG00000267517",584,"(11-32000)",0.00182
"ENSG00000167749",4.56,"(1.1-18)",0.0329
"ENSG00000263342",3570,"(6.5-2e+06)",0.011
"ENSG00000214650",640,"(12-34000)",0.0014
"ENSG00000142163",1.74e+18,"(78000-3.9e+31)",0.00741
"ENSG00000267626",29,"(1.6-530)",0.0228
"ENSG00000229011",8.8e+07,"(330-2.3e+13)",0.00411
"ENSG00000125850",1.56,"(1-2.3)",0.0304
"ENSG00000235612",7010000,"(18-2.7e+12)",0.0163
"ENSG00000259482",477,"(9.1-25000)",0.00225
"ENSG00000228309",13.2,"(2.2-79)",0.00472
"ENSG00000142186",2.99,"(1.2-7.5)",0.0202
"ENSG00000010327",1.53,"(1-2.3)",0.0499
"ENSG00000178882",1.32,"(1-1.7)",0.047
"ENSG00000223912",50.7,"(2.4-1100)",0.0113
"ENSG00000276592",1.88e+15,"(4.8-7.3e+29)",0.0402
"ENSG00000226485",172,"(1.5-20000)",0.0332
"ENSG00000256004",0.748,"(0.56-0.99)",0.0444
"ENSG00000274611",12200,"(1.2-1.2e+08)",0.0455
"ENSG00000232170",2.29e+13,"(260000-2e+21)",0.000974
"ENSG00000182107",1.52,"(1-2.3)",0.045
"ENSG00000249614",1.52e+14,"(65-3.5e+26)",0.0246
"ENSG00000046651",0.392,"(0.16-0.95)",0.0381
"ENSG00000224810",22.9,"(2-260)",0.0121
"ENSG00000171695",6.87,"(1.7-28)",0.00725
"ENSG00000107736",3.49,"(1.2-10)",0.0218
"ENSG00000121446",2110000,"(150-2.9e+10)",0.00278
"ENSG00000261517",1.1e+27,"(32000-3.8e+49)",0.0187
"ENSG00000237654",3.61e+10,"(1000-1.3e+18)",0.00616
"ENSG00000255171",9.79e+08,"(300-3.2e+15)",0.00683
"ENSG00000224048",570,"(6.4-50000)",0.00552
"ENSG00000107187",4.68,"(1.4-15)",0.0103
"ENSG00000138813",97.9,"(3.9-2500)",0.00545
"ENSG00000250915",148,"(8.5-2600)",0.000618
"ENSG00000243150",646,"(8.6-48000)",0.0033
"ENSG00000253139",10400,"(13-8400000)",0.00681
"ENSG00000187553",1.77,"(1-3)",0.0356
"ENSG00000230403",1230,"(16-94000)",0.00132
"ENSG00000168234",0.283,"(0.12-0.68)",0.00498
"ENSG00000273244",2.28e-08,"(2.3e-15-0.23)",0.0323
"ENSG00000214424",6860000,"(65-7.2e+11)",0.00763
"ENSG00000259916",139,"(2.3-8500)",0.0187
"ENSG00000229466",1060,"(20-55000)",0.000553
"ENSG00000226387",17.5,"(2.9-110)",0.00193
"ENSG00000230601",20.3,"(2.5-160)",0.00473
"ENSG00000227016",32600000,"(110-9.3e+12)",0.00695
"ENSG00000215498",4.17e+31,"(7.1e+07-2.5e+55)",0.00913
"ENSG00000255283",3.75e+28,"(2.8e+09-5e+47)",0.00341
"ENSG00000258747",1420,"(4.8-420000)",0.0123
"ENSG00000257726",32,"(1.9-530)",0.0155
"ENSG00000251388",752,"(11-52000)",0.0022
"ENSG00000229781",3.46e-13,"(3.3e-25-0.37)",0.0423
"ENSG00000248528",646,"(2.4-170000)",0.0236
"ENSG00000207073",0.00077,"(6.6e-07-0.9)",0.0468
"ENSG00000218806",7.04e+09,"(23-2.2e+18)",0.023
"ENSG00000272154",14.9,"(3-74)",9e-04
"ENSG00000274223",6.46,"(1.6-25)",0.00745
"ENSG00000250378",2.27,"(1.1-4.6)",0.0215
"ENSG00000187144",13.9,"(1.9-100)",0.0101
"ENSG00000215604",2.29e+40,"(9.9-5.3e+79)",0.0445
"ENSG00000184761",1.55e+57,"(2.2e+17-1.1e+97)",0.00491
"ENSG00000163114",2.57,"(1.1-6.2)",0.0354
"ENSG00000268996",3.37,"(1.1-10)",0.0307
"ENSG00000261481",0.0104,"(0.00015-0.72)",0.0349
"ENSG00000227011",70.3,"(3.9-1300)",0.004
"ENSG00000207759",126000,"(7.8-2e+09)",0.0175
"ENSG00000265222",0.131,"(0.02-0.84)",0.0317
"ENSG00000267286",3.62e+10,"(230-5.7e+18)",0.0116
"ENSG00000232767",12.2,"(2-74)",0.00645
"ENSG00000239003",121,"(4.2-3500)",0.00516
"ENSG00000265366",4.6,"(1.4-15)",0.0111
"ENSG00000260202",4.72e+17,"(2600-8.7e+31)",0.0152
"ENSG00000275852",1260,"(13-130000)",0.00238
"ENSG00000242049",148000,"(55-4e+08)",0.00316
"ENSG00000237752",1.82e+23,"(98-3.4e+44)",0.0321
"ENSG00000261095",1.07e+19,"(5400000-2.1e+31)",0.00243
"ENSG00000253413",3280,"(1-1e+07)",0.0492
"ENSG00000239513",44.5,"(3.5-560)",0.00338
"ENSG00000277096",352,"(4.8-26000)",0.00733
"ENSG00000228877",15.3,"(2.5-94)",0.00325
"ENSG00000274899",5.09e+09,"(1600-1.6e+16)",0.00344
"ENSG00000169385",2.05,"(1.1-3.9)",0.0307
"ENSG00000279185",2.87e+44,"(2.7-3e+88)",0.0478
"ENSG00000267789",389,"(2.8-55000)",0.0182
"ENSG00000251642",2420,"(14-430000)",0.00315
"ENSG00000221135",3010000,"(14-6.7e+11)",0.0175
"ENSG00000169688",44.8,"(1.6-1300)",0.0261
"ENSG00000253557",48.6,"(2.6-920)",0.00957
"ENSG00000261648",77300000,"(1300-4.7e+12)",0.00122
"ENSG00000253181",39,"(3.3-460)",0.00347
"ENSG00000234860",95.5,"(4.5-2000)",0.00351
"ENSG00000200761",15200,"(42-5600000)",0.00139
"ENSG00000261198",10500000,"(820-1.3e+11)",0.000802
"ENSG00000222790",33,"(1.4-780)",0.0304
"ENSG00000260422",2700000,"(510-1.4e+10)",0.000715
"ENSG00000182896",2640,"(12-570000)",0.0041
"ENSG00000258779",15700000,"(110-2.3e+12)",0.00626
"ENSG00000266979",10800,"(6.3-1.8e+07)",0.0144
"ENSG00000228338",127000,"(150-1e+08)",0.000605
"ENSG00000215583",3.45e+24,"(8000-1.5e+45)",0.0198
"ENSG00000251886",2480000,"(8100-7.6e+08)",4.66e-07
"ENSG00000271088",5.68e+163,"(5.7e+68-5.7e+258)",0.000729
"ENSG00000225497",686,"(2.7-170000)",0.0208
"ENSG00000261426",2.3e+18,"(10-5.1e+35)",0.038
"ENSG00000259082",28.1,"(3.4-230)",0.00186
"ENSG00000204880",2.16e+43,"(6.1e+15-7.6e+70)",0.00205
"ENSG00000234229",2.39e+14,"(270000-2.2e+23)",0.00165
"ENSG00000185561",1.63,"(1-2.6)",0.0493
"ENSG00000179902",1.39,"(1-1.9)",0.0465
"ENSG00000259697",1960,"(11-340000)",0.00405
"ENSG00000228759",9.76e+15,"(2.3-4.1e+31)",0.0449
"ENSG00000233336",9.54e+13,"(42000-2.2e+23)",0.00341
"ENSG00000271585",74600000,"(8.8-6.4e+14)",0.026
"ENSG00000261680",671000,"(1.3-3.6e+11)",0.0461
"ENSG00000252898",1060,"(8.6-130000)",0.00454
"ENSG00000227200",38.2,"(1.6-910)",0.0247
"ENSG00000188163",6.66,"(1.9-23)",0.00249
"ENSG00000227911",2880,"(48-170000)",0.000134
"ENSG00000235436",4.6,"(1.2-18)",0.0293
"ENSG00000254863",77800,"(8.1-7.5e+08)",0.0161
"ENSG00000229962",356,"(2.9-45000)",0.0171
"ENSG00000255393",414,"(5.8-29000)",0.00558
"ENSG00000228815",1.01e+31,"(4.5e+10-2.3e+51)",0.00283
"ENSG00000236817",14800,"(6-3.6e+07)",0.016
"ENSG00000171931",563,"(8.7-37000)",0.00295
"ENSG00000223012",2810000,"(52-1.5e+11)",0.00762
"ENSG00000223566",5.69e+08,"(7.9-4.1e+16)",0.029
"ENSG00000249781",11700,"(4.3-3.2e+07)",0.0201
"ENSG00000264598",811000,"(2.1-3.1e+11)",0.0382
"ENSG00000236295",1.54e+08,"(700-3.4e+13)",0.00267
"ENSG00000238176",13200,"(16-1.1e+07)",0.0055
"ENSG00000185168",3.29,"(1-11)",0.0482
"ENSG00000125388",3.86,"(1.4-11)",0.00937
"ENSG00000259229",9.52e+10,"(9500-9.6e+17)",0.00212
"ENSG00000261233",7.12e+31,"(5.7e+12-8.8e+50)",0.00108
"ENSG00000175866",2.94,"(1.2-7.1)",0.0173
"ENSG00000264553",0.221,"(0.061-0.8)",0.0217
"ENSG00000254187",1710000,"(290-1e+10)",0.00121
"ENSG00000258285",144,"(4.1-5100)",0.00615
"ENSG00000224074",1.73e+08,"(360-8.4e+13)",0.00452
"ENSG00000279633",629,"(15-27000)",0.000743
"ENSG00000165325",27.4,"(4.2-180)",0.000566
"ENSG00000236301",46.5,"(3.2-670)",0.00473
"ENSG00000225775",1.39e+10,"(5000-3.8e+16)",0.00203
"ENSG00000073146",6.95,"(2-24)",0.00231
"ENSG00000257771",1.07e+11,"(280-4.2e+19)",0.0119
"ENSG00000161888",2.28,"(1-5.1)",0.044
"ENSG00000250315",71400,"(190-2.7e+07)",0.00023
"ENSG00000224956",0.131,"(0.021-0.82)",0.0299
"ENSG00000232522",4.18e+30,"(1.1e+12-1.6e+49)",0.00125
"ENSG00000164123",62.9,"(4-980)",0.00312
"ENSG00000236986",558000,"(69-4.5e+09)",0.00396
"ENSG00000239590",1300,"(1.3-1300000)",0.0419
"ENSG00000182921",1.33e+17,"(4e+08-4.4e+25)",8.14e-05
"ENSG00000206768",7.36,"(1.3-43)",0.027
"ENSG00000277426",1590000,"(720-3.5e+09)",0.000277
"ENSG00000268864",132,"(1.2-14000)",0.0402
"ENSG00000272485",4.74e+09,"(780-2.9e+16)",0.0052
"ENSG00000228203",2.29,"(1.1-4.8)",0.0268
"ENSG00000265163",43100,"(94-2e+07)",0.000649
"ENSG00000227294",55800,"(1.5-2.1e+09)",0.0417
"ENSG00000264395",2.79,"(1-7.7)",0.0492
"ENSG00000224691",14.3,"(2-100)",0.00731
"ENSG00000165059",3.01,"(1.1-8.3)",0.0333
"ENSG00000252396",6800000,"(1.5-3.1e+13)",0.0443
"ENSG00000279498",548000,"(12-2.4e+10)",0.0154
"ENSG00000230054",4.46,"(1.6-13)",0.00532
"ENSG00000136929",11,"(2.5-48)",0.0014
"ENSG00000253479",371,"(1.1-130000)",0.0464
"ENSG00000241461",230,"(8.7-6100)",0.00112
"ENSG00000225490",0.703,"(0.51-0.96)",0.029
"ENSG00000252815",79.6,"(4.1-1500)",0.00379
"ENSG00000234255",5900,"(13-2700000)",0.00559
"ENSG00000225292",119,"(3.2-4400)",0.00936
"ENSG00000166930",6.39,"(1.7-24)",0.0059
"ENSG00000273396",648,"(17-25000)",0.000479
"ENSG00000174562",43.1,"(3.3-570)",0.00419
"ENSG00000254456",18500000,"(120-2.8e+12)",0.006
"ENSG00000105655",1.76,"(1.1-2.8)",0.0185
"ENSG00000226250",22.9,"(3-170)",0.00235
"ENSG00000243297",37.2,"(2.1-660)",0.0139
"ENSG00000273361",4.45,"(1.1-19)",0.0418
"ENSG00000255723",145,"(3-7100)",0.0121
"ENSG00000187533",76.4,"(5.3-1100)",0.0014
"ENSG00000271414",80.4,"(2.1-3200)",0.0191
"ENSG00000233616",275000,"(3.4-2.2e+10)",0.0299
"ENSG00000253591",833,"(1.1-650000)",0.0479
"ENSG00000239829",1.84e+21,"(140000-2.4e+37)",0.00973
"ENSG00000189139",29.6,"(2.5-350)",0.00701
"ENSG00000259517",376,"(7-20000)",0.00352
"ENSG00000248872",6.76e+13,"(250-1.8e+25)",0.0177
"ENSG00000229985",0.000217,"(2.2e-07-0.21)",0.0164
"ENSG00000261475",7070,"(20-2600000)",0.00318
"ENSG00000234303",638,"(3.2-130000)",0.0165
"ENSG00000271876",34.2,"(2-590)",0.0152
"ENSG00000143994",17.6,"(3.4-92)",0.000682
"ENSG00000227098",1230,"(16-96000)",0.00139
"ENSG00000228476",46,"(2.3-920)",0.0121
"ENSG00000255311",8.11e+15,"(350000-1.9e+26)",0.00263
"ENSG00000225619",2.91e+22,"(7.2e+07-1.2e+37)",0.00257
"ENSG00000204250",1.43e+10,"(8.4-2.4e+19)",0.0311
"ENSG00000230408",195,"(2.7-14000)",0.016
"ENSG00000077232",0.311,"(0.11-0.89)",0.0287
"ENSG00000224559",4.81,"(1-23)",0.0493
"ENSG00000255395",151,"(3.4-6800)",0.00978
"ENSG00000249525",3.02e+16,"(190-4.8e+30)",0.0229
"ENSG00000259591",31.8,"(2.6-390)",0.00695
"ENSG00000235185",13.2,"(1-170)",0.0458
"ENSG00000169717",3,"(1.5-6)",0.00203
"ENSG00000265110",10.2,"(1.4-72)",0.0204
"ENSG00000239099",103,"(6.5-1600)",0.000991
"ENSG00000136881",3.44,"(1.1-11)",0.0408
"ENSG00000184182",0.457,"(0.21-1)",0.0486
"ENSG00000256172",21100,"(1.3-3.3e+08)",0.0434
"ENSG00000188800",3.16,"(1.4-7.1)",0.00567
"ENSG00000260674",4440,"(5.1-3900000)",0.0151
"ENSG00000213873",3.06e-07,"(1.9e-13-0.49)",0.0397
"ENSG00000170777",2.72,"(1.1-7)",0.0378
"ENSG00000230119",12.6,"(1.6-97)",0.0149
"ENSG00000204278",8.34,"(1.5-47)",0.0158
"ENSG00000229972",7.78,"(1.6-37)",0.0101
"ENSG00000265544",185000,"(23-1.5e+09)",0.00813
"ENSG00000181625",1080,"(3.8-3e+05)",0.0152
"ENSG00000240846",21.7,"(5-95)",4.15e-05
"ENSG00000239926",63500,"(85-4.7e+07)",0.00104
"ENSG00000181656",4.85,"(1.5-15)",0.00743
"ENSG00000241544",41300,"(120-1.4e+07)",0.000351
"ENSG00000105428",3.3,"(1.5-7.4)",0.00355
"ENSG00000228317",9.34,"(1.4-62)",0.0212
"ENSG00000223910",1.4e+08,"(670-2.9e+13)",0.0027
"ENSG00000258205",123,"(5.4-2800)",0.00262
"ENSG00000270323",2270000,"(9.2-5.6e+11)",0.0208
"ENSG00000241111",5.24e+09,"(280-9.8e+16)",0.0088
"ENSG00000130997",30.3,"(1.1-850)",0.0449
"ENSG00000275722",6.61,"(1.9-23)",0.00345
"ENSG00000256311",1.32e+08,"(1100-1.6e+13)",0.00173
"ENSG00000156886",0.212,"(0.053-0.84)",0.0273
"ENSG00000117983",1.97,"(1-3.8)",0.0458
"ENSG00000214756",4.5,"(1.4-14)",0.0106
"ENSG00000215734",4130,"(22-760000)",0.00176
"ENSG00000235140",17600000,"(950-3.3e+11)",0.000872
"ENSG00000253510",1.84e+36,"(5900000-5.8e+65)",0.016
"ENSG00000230573",575000,"(1.6-2e+11)",0.042
"ENSG00000131885",44.3,"(2.2-910)",0.0138
"ENSG00000277516",2.51e+14,"(450000-1.4e+23)",0.00125
"ENSG00000168967",1.05e+20,"(6900000-1.6e+33)",0.00291
"ENSG00000254960",133,"(7.2-2500)",0.00103
"ENSG00000259403",316000,"(17-5.9e+09)",0.0117
"ENSG00000224349",19.8,"(1.7-230)",0.0162
"ENSG00000214825",6.55e+20,"(24000-1.8e+37)",0.0131
"ENSG00000248505",2.97,"(1.1-8.3)",0.0388
"ENSG00000277465",20100,"(4.2-9.7e+07)",0.022
"ENSG00000277387",6.45,"(1.5-28)",0.0126
"ENSG00000248767",12.4,"(2.7-57)",0.00118
"ENSG00000251081",846,"(7.7-92000)",0.00489
"ENSG00000237821",0.0118,"(0.00019-0.74)",0.0353
"ENSG00000222031",596,"(2.3-150000)",0.0238
"ENSG00000230848",3110000,"(2000-4.8e+09)",6.67e-05
"ENSG00000221745",562000,"(41-7.6e+09)",0.00642
"ENSG00000226814",3.11e+11,"(140-6.9e+20)",0.0159
"ENSG00000226527",3040,"(17-540000)",0.00243
"ENSG00000148468",1.5,"(1-2.2)",0.031
"ENSG00000259700",349,"(6.3-19000)",0.0043
"ENSG00000250686",32.6,"(2-530)",0.0145
"ENSG00000234355",1390000,"(1.6-1.2e+12)",0.0423
"ENSG00000172689",6.37,"(1.3-31)",0.0231
"ENSG00000198443",3960,"(26-6e+05)",0.00123
"ENSG00000233417",1140000,"(45-2.9e+10)",0.00703
"ENSG00000260737",4280,"(18-1e+06)",0.00284
"ENSG00000236102",1.2e+10,"(49-2.9e+18)",0.0185
"ENSG00000250741",17200000,"(230-1.3e+12)",0.00365
"ENSG00000213140",13800,"(13-1.5e+07)",0.0076
"ENSG00000232828",7210,"(17-3100000)",0.00411
"ENSG00000251170",3.83e+16,"(8.5e+07-1.7e+25)",0.000172
"ENSG00000185013",109,"(4.7-2500)",0.00346
"ENSG00000229727",159,"(3-8300)",0.012
"ENSG00000186143",3.13,"(1.5-6.7)",0.00355
"ENSG00000240033",11700000,"(130-1.1e+12)",0.00529
"ENSG00000233587",9800,"(28-3400000)",0.00211
"ENSG00000235410",171000,"(31-9.4e+08)",0.0061
"ENSG00000205108",18.4,"(2.6-130)",0.00364
"ENSG00000258098",273,"(1.5-50000)",0.0347
"ENSG00000256362",6.88e+09,"(140-3.3e+17)",0.012
"ENSG00000213067",5.7,"(1.6-20)",0.00616
"ENSG00000242244",352,"(7.9-16000)",0.00245
"ENSG00000263438",1110000,"(180-6.9e+09)",0.00178
"ENSG00000266535",8.56e+13,"(640000-1.1e+22)",0.000779
"ENSG00000204193",376,"(6.7-21000)",0.00395
"ENSG00000237401",43.5,"(3.5-530)",0.00318
"ENSG00000225797",5.36e+10,"(1.4-2.1e+21)",0.0472
"ENSG00000264334",193,"(4.2-8900)",0.00721
"ENSG00000277653",12.9,"(1.2-140)",0.0358
"ENSG00000182103",1.61,"(1-2.5)",0.0331
"ENSG00000181433",8.21,"(2.3-29)",0.00121
"ENSG00000257277",10.3,"(1.3-85)",0.0301
"ENSG00000234497",4.85e+10,"(1800-1.3e+18)",0.00489
"ENSG00000251702",2150,"(9.9-460000)",0.00516
"ENSG00000230015",8.82,"(2-39)",0.00425
"ENSG00000226497",414000,"(120-1.4e+09)",0.00177
"ENSG00000251175",32.1,"(1-1000)",0.0479
"ENSG00000234388",2.12e+13,"(220-2.1e+24)",0.0175
"ENSG00000124089",1.32e+08,"(2500-6.9e+12)",0.000749
"ENSG00000230600",279,"(1.1-68000)",0.0446
"ENSG00000229937",3.68,"(1.2-12)",0.0261
"ENSG00000264352",626,"(1.5-260000)",0.0359
"ENSG00000244694",2.68,"(1-7.2)",0.0493
"ENSG00000112280",1.46,"(1.1-1.9)",0.00496
"ENSG00000227835",4710000,"(39-5.6e+11)",0.00999
"ENSG00000138207",1.27,"(1-1.6)",0.0254
"ENSG00000270691",197000,"(1.2-3.2e+10)",0.0463
"ENSG00000263594",1090000,"(130-9.3e+09)",0.0026
"ENSG00000256852",7.12e+11,"(98-5.2e+21)",0.0185
"ENSG00000269736",41.6,"(1-1700)",0.0476
"ENSG00000187012",1500,"(10-220000)",0.0041
"ENSG00000237468",6.94e+14,"(22000-2.2e+25)",0.00562
"ENSG00000229375",3.61,"(1.2-11)",0.0227
"ENSG00000260427",1.31e+35,"(1.1e+08-1.5e+62)",0.011
"ENSG00000225007",4.78,"(1.6-14)",0.00508
"ENSG00000199790",318,"(3.3-31000)",0.0135
"ENSG00000230402",1810000,"(1700-1.9e+09)",4.87e-05
"ENSG00000262116",1970000,"(1-3.7e+12)",0.0493
"ENSG00000223942",4390,"(15-1300000)",0.00387
"ENSG00000253242",6430,"(1.2-3.5e+07)",0.0456
"ENSG00000266977",4810,"(19-1200000)",0.0027
"ENSG00000100678",2.12,"(1.1-4)",0.0198
"ENSG00000236445",74.4,"(2.4-2300)",0.0142
"ENSG00000203546",581,"(4.7-71000)",0.00949
"ENSG00000237035",5.6e+30,"(1.4e+11-2.3e+50)",0.00212
"ENSG00000231144",9390000,"(210-4.1e+11)",0.00325
"ENSG00000218274",51.4,"(2.2-1200)",0.0143
"ENSG00000235032",5810,"(5-6700000)",0.0161
"ENSG00000120440",18.6,"(2.5-140)",0.00399
"ENSG00000178146",0.0948,"(0.01-0.89)",0.0396
"ENSG00000207266",4080,"(1.5-1.1e+07)",0.0394
"ENSG00000237626",392,"(1.5-110000)",0.0366
"ENSG00000168314",18.7,"(1.3-270)",0.032
"ENSG00000249638",697,"(4.9-98000)",0.00954
"ENSG00000243593",9.6e+16,"(46000-2e+29)",0.00692
"ENSG00000250946",5760000,"(350-9.4e+10)",0.00166
"ENSG00000255348",246,"(1.2-49000)",0.0413
"ENSG00000231278",5.57e+12,"(4.2-7.5e+24)",0.0394
"ENSG00000260237",6.92e+15,"(850-5.6e+28)",0.0162
"ENSG00000258532",366000,"(2.7-4.9e+10)",0.0335
"ENSG00000265788",2.99e+08,"(290-3.1e+14)",0.00572
"ENSG00000251171",907000,"(200-4.2e+09)",0.00144
"ENSG00000214940",1.82e-16,"(3.9e-30-0.0084)",0.024
"ENSG00000270296",22.5,"(2.2-230)",0.00875
"ENSG00000230190",2.2e+07,"(390-1.2e+12)",0.00246
"ENSG00000216721",3.63,"(1.3-9.8)",0.0108
"ENSG00000233016",2.03,"(1-4)",0.0368
"ENSG00000232553",8.07,"(2-33)",0.00376
"ENSG00000254242",153,"(3.2-7300)",0.0109
"ENSG00000175634",3.04,"(1.1-8.3)",0.0291
"ENSG00000259195",14.5,"(1.8-120)",0.0121
"ENSG00000260338",25.4,"(3.3-200)",0.00205
"ENSG00000249106",316,"(2.6-38000)",0.0185
"ENSG00000167617",1.31,"(1-1.7)",0.0456
"ENSG00000233191",41.5,"(4-430)",0.00172
"ENSG00000188282",0.295,"(0.089-0.98)",0.0468
"ENSG00000257083",141000,"(42-4.7e+08)",0.00418
"ENSG00000208024",2.46,"(1.2-5.1)",0.0167
"ENSG00000222950",34.4,"(1.3-890)",0.033
"ENSG00000224153",22.9,"(1.4-370)",0.0279
"ENSG00000225767",105,"(1.7-6400)",0.0262
"ENSG00000254647",2.22,"(1-4.7)",0.0382
"ENSG00000250169",1.56e+45,"(1.6e+22-1.5e+68)",0.000117
"ENSG00000189037",9.11,"(1.3-62)",0.0242
"ENSG00000204449",3.11,"(1.3-7.4)",0.0102
"ENSG00000249066",1.28e+12,"(3100-5.3e+20)",0.00586
"ENSG00000232857",3.61e+18,"(160000-8.3e+31)",0.0065
"ENSG00000233086",45300000,"(1.2-1.7e+15)",0.0473
"ENSG00000256763",11100000,"(250-4.9e+11)",0.00294
"ENSG00000272489",13900000,"(24-8.2e+12)",0.0152
"ENSG00000263660",0.456,"(0.24-0.85)",0.0142
"ENSG00000139668",0.262,"(0.084-0.82)",0.0209
"ENSG00000227925",11.8,"(2.2-62)",0.0038
"ENSG00000253887",6000,"(26-1400000)",0.0017
"ENSG00000249131",5.68,"(1.9-17)",0.00193
"ENSG00000272334",0.0322,"(0.002-0.51)",0.0145
"ENSG00000166825",1.39,"(1.1-1.8)",0.0134
"ENSG00000180900",0.43,"(0.2-0.94)",0.034
"ENSG00000257467",68.3,"(2.9-1600)",0.00876
"ENSG00000183273",3.61,"(1.5-8.7)",0.00427
"ENSG00000224328",0.000365,"(2.4e-07-0.55)",0.0339
"ENSG00000256259",1.39e+08,"(560-3.4e+13)",0.00308
"ENSG00000273162",3.1,"(1.1-8.4)",0.0257
"ENSG00000249713",7.5e+15,"(4.5e+07-1.3e+24)",0.000155
"ENSG00000265303",1.36e+12,"(58000-3.2e+19)",0.00125
"ENSG00000260433",395,"(1.5-1e+05)",0.0351
"ENSG00000248656",28400000,"(8400-9.6e+10)",3.46e-05
"ENSG00000264311",410,"(2.2-77000)",0.0242
"ENSG00000187242",252,"(5.5-12000)",0.00456
"ENSG00000120896",2.21,"(1.2-4.1)",0.0135
"ENSG00000258631",15.9,"(1.3-190)",0.0303
"ENSG00000185652",1.47,"(1.1-2)",0.0189
"ENSG00000266676",2.49,"(1.2-5.2)",0.0141
