"cancer_type","dataset","event","ENSEMBL","KM_median_HR","KM_median_p","KM_median_lower","KM_median_upper","KM_optimal_HR","KM_optimal_p","KM_optimal_lower","KM_optimal_upper"
"TGCT","GSE10783_96","OS","ENSG00000122507",0.346850707187855,0.108607222351861,0.0895396789603833,1.34359888792928,0.166090750160681,0.00189744880776681,0.0461387122767242,0.597895691658787
"TGCT","GSE10783_96","OS","ENSG00000172594",0.98699360759461,0.983502450240762,0.285362912311799,3.4137455829166,0.542776825659047,0.369631248511832,0.139936698291554,2.10528536166194
"TGCT","GSE10783_96","OS","ENSG00000196642",5.38118906028529,0.0178410495681482,1.13446191726243,25.5250487142052,7.91487867690333,0.000497854273460332,2.01419439618226,31.1019157777611
"TGCT","GSE10783_96","OS","ENSG00000125484",0.642903439710658,0.490536802513713,0.181267895557334,2.28018773826976,0.164424769117408,0.0510123788429207,0.0207932648437066,1.30020489338862
"TGCT","GSE10783_96","OS","ENSG00000170624",1.77223606790653,0.369315339771284,0.499532301882425,6.28752268582633,4.68839027584283,0.106629648277419,0.592844571048485,37.0771774796601
"TGCT","GSE10783_96","OS","ENSG00000145687",1.02555796913668,0.968201494215027,0.296533805517092,3.54687772014959,2.08050199579154,0.237227040757933,0.600902655652811,7.20331074222028
"TGCT","GSE10783_96","OS","ENSG00000262075",1.0500930786498,0.938406422027762,0.303912670854494,3.62833004207369,2.13742233945434,0.26039467236231,0.551588714878956,8.28257383438495
"TGCT","GSE10783_96","OS","ENSG00000133027",1.53958806628613,0.500946250027479,0.433922990322544,5.46256240557512,2.67588980036944,0.113028253615554,0.753943821446955,9.49724106761579
"TGCT","GSE10783_96","OS","ENSG00000112659",1.03464746490442,0.957065881574613,0.299385526244476,3.57564171542143,0.400629985684366,0.231323530125074,0.085000195304972,1.88828254868806
"TGCT","GSE10783_96","OS","ENSG00000171824",0.637092628493899,0.481431859957215,0.179672540028409,2.25903756476692,0.48935329694517,0.356095226762086,0.103835622800226,2.30620901356588
"TGCT","GSE10783_96","OS","ENSG00000104980",3.05062977340308,0.0903763610146401,0.785101951881665,11.8536732612481,365848017.410948,0.0210463656835748,0,Inf
